Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,//questionnaire,20,0,93,110.94743499998003,61.04099997901358,367.111700004898,289.0,0.03337151523642116,0.0,95,100,110,110,200,370,370,370,370,370,370
GET,/questionnaire/,100,0,100.0,99.87521899980493,50.190200010547414,236.47340000024997,27239.6,0.16685757618210578,0.0,100,110,110,110,120,150,170,240,240,240,240
POST,/questionnaire/,99,0,95,149.46266262518063,52.83840000629425,534.5795000030193,298.2929292929293,0.16518900042028473,0.0,95,110,200,240,320,440,460,530,530,530,530
GET,/questionnaire/accommodation-introduction/,20,0,92,106.39281500334619,67.27629998931661,329.14919999893755,16729.0,0.03337151523642116,0.0,94,100,110,110,150,330,330,330,330,330,330
POST,/questionnaire/accommodation-introduction/,20,0,100.0,144.3715199988219,68.4703000006266,454.07259999774396,275.0,0.03337151523642116,0.0,100,120,120,150,330,450,450,450,450,450,450
GET,/questionnaire/accommodation-type/,20,0,97,113.33128999976907,55.35469998721965,478.1901999958791,19607.0,0.03337151523642116,0.0,98,100,110,110,120,480,480,480,480,480,480
POST,/questionnaire/accommodation-type/,20,0,110.0,154.582380001375,65.294800006086,478.6610000010114,265.0,0.03337151523642116,0.0,110,120,120,130,430,480,480,480,480,480,480
GET,/questionnaire/any-more-people-living-here/,20,0,100.0,124.2711400045664,68.59110001823865,574.1108999936841,25769.0,0.03337151523642116,0.0,110,110,110,110,120,570,570,570,570,570,570
POST,/questionnaire/any-more-people-living-here/,20,0,110.0,176.14401500322856,67.45720002800226,763.4442000126,263.0,0.03337151523642116,0.0,110,120,130,310,500,760,760,760,760,760,760
GET,/questionnaire/any-more-visitors/,20,0,98,97.24218500341522,70.62529999529943,125.03200001083314,20877.0,0.03337151523642116,0.0,100,100,110,110,110,130,130,130,130,130,130
POST,/questionnaire/any-more-visitors/,20,0,120.0,122.69493500207318,82.09729997906834,318.05280002299696,343.0,0.03337151523642116,0.0,120,120,120,120,150,320,320,320,320,320,320
GET,/questionnaire/any-visitors/,20,0,96,104.5994799977052,65.49559999257326,245.2280999859795,22923.0,0.03337151523642116,0.0,97,110,110,120,120,250,250,250,250,250,250
POST,/questionnaire/any-visitors/,20,0,110.0,124.85208500002045,80.15500000328757,434.4178000173997,359.0,0.03337151523642116,0.0,110,110,130,130,150,430,430,430,430,430,430
GET,/questionnaire/central-heating/,20,0,100.0,101.16303500253707,65.16979998559691,152.05970001989044,24156.0,0.03337151523642116,0.0,100,110,110,110,110,150,150,150,150,150,150
POST,/questionnaire/central-heating/,20,0,110.0,185.82279999391176,88.04199998849072,544.9300000036601,261.0,0.03337151523642116,0.0,120,140,270,310,440,540,540,540,540,540,540
GET,/questionnaire/coronavirus-circumstances/,20,0,98,136.11858000222128,77.04430000740103,512.2894000087399,15720.0,0.03337151523642116,0.0,100,110,110,140,380,510,510,510,510,510,510
POST,/questionnaire/coronavirus-circumstances/,20,0,110.0,148.40779500082135,76.23069998226129,493.8689999980852,305.0,0.03337151523642116,0.0,110,110,120,190,440,490,490,490,490,490,490
GET,/questionnaire/do-you-usually-live-here/,20,0,110.0,128.62430500099435,72.4651999771595,609.1967999818735,20645.0,0.03337151523642116,0.0,110,110,110,120,130,610,610,610,610,610,610
POST,/questionnaire/do-you-usually-live-here/,20,0,110.0,131.40045000182,74.18799999868497,443.0816000094637,307.0,0.03337151523642116,0.0,110,120,130,140,180,440,440,440,440,440,440
GET,/questionnaire/household/people-living-here-add-person/,20,0,100.0,122.62807500083,63.56930002220906,360.0774999940768,18372.0,0.03337151523642116,0.0,100,110,120,120,310,360,360,360,360,360,360
POST,/questionnaire/household/people-living-here-add-person/,20,0,110.0,166.6307899984531,84.0852000110317,511.2252999970224,275.0,0.03337151523642116,0.0,120,130,140,140,500,510,510,510,510,510,510
GET,/questionnaire/household/{id}/a-level/,40,0,100.0,99.05558249956812,55.73500000173226,163.4800999891013,22952.0,0.06674303047284232,0.0,100,110,110,110,120,130,160,160,160,160,160
POST,/questionnaire/household/{id}/a-level/,40,0,110.0,175.68716499954462,70.57609999901615,460.7032999920193,281.0,0.06674303047284232,0.0,120,120,240,310,440,450,460,460,460,460,460
GET,/questionnaire/household/{id}/another-address/,40,0,97,116.15673750275164,64.87229999038391,610.5429999879561,21200.0,0.06674303047284232,0.0,100,110,110,120,130,320,610,610,610,610,610
POST,/questionnaire/household/{id}/another-address/,40,0,110.0,143.0877650003822,72.24269997095689,504.5737000182271,297.0,0.06674303047284232,0.0,110,120,130,130,430,460,500,500,500,500,500
