"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/questionnaire",2426,0,85,122,42,2484,289,0.67,0.00,85,110,130,150,200,270,410,620,2300,2500,2500,2500
"GET","/questionnaire/",11851,0,100,118,50,720,9309,3.29,0.00,100,120,140,160,200,230,280,320,450,630,720,720
"POST","/questionnaire/",11847,0,110,139,42,1091,293,3.29,0.00,110,150,180,200,260,330,430,500,820,1100,1100,1100
"GET","/questionnaire/accommodation-introduction/",2426,0,95,111,49,399,7161,0.67,0.00,95,120,140,150,190,220,270,310,400,400,400,400
"POST","/questionnaire/accommodation-introduction/",2426,0,120,135,58,1709,271,0.67,0.00,120,140,160,180,230,270,310,350,500,1700,1700,1700
"GET","/questionnaire/accommodation-type/",2426,0,98,116,51,466,8558,0.67,0.00,98,120,140,150,190,230,270,320,430,470,470,470
"POST","/questionnaire/accommodation-type/",2426,0,120,140,61,662,261,0.67,0.00,120,150,170,190,240,280,340,390,550,660,660,660
"GET","/questionnaire/any-visitors/",2426,0,100,124,54,988,11285,0.67,0.00,100,130,150,160,200,250,320,390,810,990,990,990
"POST","/questionnaire/any-visitors/",2426,0,120,145,62,1174,319,0.67,0.00,120,150,170,190,240,290,380,500,770,1200,1200,1200
"GET","/questionnaire/anyone-else-list-collector/",4852,0,100,131,52,1389,8965,1.35,0.00,100,130,150,160,210,270,380,680,1100,1400,1400,1400
"POST","/questionnaire/anyone-else-list-collector/",4852,0,120,152,60,1473,291,1.35,0.00,120,150,180,190,250,310,450,750,1200,1500,1500,1500
"GET","/questionnaire/anyone-else-temp-away-list-collector/",2426,0,110,130,55,1483,11412,0.67,0.00,110,130,150,170,210,260,350,520,920,1500,1500,1500
"POST","/questionnaire/anyone-else-temp-away-list-collector/",2426,0,120,146,62,1183,259,0.67,0.00,120,150,170,190,240,290,380,550,1200,1200,1200,1200
"GET","/questionnaire/central-heating/",2425,0,100,119,53,444,11463,0.67,0.00,100,120,140,160,200,240,290,320,400,440,440,440
"POST","/questionnaire/central-heating/",2425,0,120,137,62,655,257,0.67,0.00,120,140,160,180,230,270,330,370,480,660,660,660
"GET","/questionnaire/household/add-person/",2426,0,100,131,52,1360,7941,0.67,0.00,100,130,150,160,210,270,390,700,1100,1400,1400,1400
"POST","/questionnaire/household/add-person/",2426,0,130,157,66,1546,287,0.67,0.00,130,150,180,200,250,320,450,690,1300,1500,1500,1500
"GET","/questionnaire/household/{id}/a-level/",4709,0,110,128,54,520,10893,1.31,0.00,110,140,160,170,210,250,300,330,480,520,520,520
"POST","/questionnaire/household/{id}/a-level/",4708,0,130,152,63,674,277,1.31,0.00,130,160,180,200,250,300,360,410,560,670,670,670
"GET","/questionnaire/household/{id}/add-or-edit-primary-person/",2426,0,100,133,52,1550,7782,0.67,0.00,100,130,150,160,210,270,510,770,1400,1600,1600,1600
"POST","/questionnaire/household/{id}/add-or-edit-primary-person/",2426,0,120,155,60,1553,287,0.67,0.00,120,150,170,190,250,320,600,890,1500,1600,1600,1600
"GET","/questionnaire/household/{id}/another-address/",4752,0,110,126,53,674,9645,1.32,0.00,110,130,150,170,210,250,300,340,460,670,670,670
"POST","/questionnaire/household/{id}/another-address/",4750,0,130,150,65,931,293,1.32,0.00,130,160,180,200,250,290,360,400,580,930,930,930
"GET","/questionnaire/household/{id}/apprenticeship/",4710,0,110,125,51,663,8164,1.31,0.00,110,130,150,160,210,240,290,320,410,660,660,660
"POST","/questionnaire/household/{id}/apprenticeship/",4710,0,140,157,66,842,281,1.31,0.00,140,170,190,210,260,310,370,410,580,840,840,840
"GET","/questionnaire/household/{id}/armed-forces/",4706,0,110,129,54,684,10498,1.31,0.00,110,140,160,170,210,260,310,340,480,680,680,680
