"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/questionnaire",2288,0,110,143,45,1222,289,0.64,0.00,110,140,170,190,280,380,490,590,990,1200,1200,1200
"GET","/questionnaire/",11072,0,120,154,53,1426,9310,3.07,0.00,120,150,180,210,290,390,490,570,800,980,1400,1400
"POST","/questionnaire/",11066,0,130,187,44,2156,293,3.07,0.00,130,190,230,260,370,500,710,870,1500,1900,2200,2200
"GET","/questionnaire/accommodation-introduction/",2251,0,110,140,52,722,7161,0.63,0.00,110,140,170,190,260,330,450,510,660,720,720,720
"POST","/questionnaire/accommodation-introduction/",2249,0,130,172,65,1143,271,0.62,0.00,130,170,200,230,320,410,530,640,1000,1100,1100,1100
"GET","/questionnaire/accommodation-type/",2249,0,110,145,54,740,8558,0.62,0.00,110,150,170,190,270,340,420,500,710,740,740,740
"POST","/questionnaire/accommodation-type/",2248,0,140,177,62,1020,261,0.62,0.00,140,180,210,240,330,430,550,610,750,1000,1000,1000
"GET","/questionnaire/any-visitors/",2267,0,130,158,56,752,11285,0.63,0.00,130,160,190,210,300,370,470,540,720,750,750,750
"POST","/questionnaire/any-visitors/",2264,0,140,185,65,972,319,0.63,0.00,140,180,220,250,350,450,560,680,890,970,970,970
"GET","/questionnaire/anyone-else-list-collector/",4559,0,120,160,55,941,8964,1.27,0.00,120,160,190,210,300,400,520,600,850,940,940,940
"POST","/questionnaire/anyone-else-list-collector/",4551,0,140,191,63,1552,290,1.26,0.00,140,190,230,260,370,490,610,710,1100,1600,1600,1600
"GET","/questionnaire/anyone-else-temp-away-list-collector/",2270,0,120,158,58,1140,11412,0.63,0.00,120,160,190,210,290,370,490,580,840,1100,1100,1100
"POST","/questionnaire/anyone-else-temp-away-list-collector/",2267,0,140,190,65,968,259,0.63,0.00,140,180,220,260,380,460,600,680,940,970,970,970
"GET","/questionnaire/central-heating/",2241,0,120,153,59,796,11463,0.62,0.00,120,160,190,210,270,340,440,510,700,800,800,800
"POST","/questionnaire/central-heating/",2241,0,140,176,67,1068,257,0.62,0.00,140,180,210,240,320,420,520,590,830,1100,1100,1100
"GET","/questionnaire/household/add-person/",2279,0,120,159,54,1504,7941,0.63,0.00,120,160,190,210,300,390,500,560,790,1500,1500,1500
"POST","/questionnaire/household/add-person/",2277,0,160,202,69,991,287,0.63,0.00,160,200,240,270,390,510,630,710,930,990,990,990
"GET","/questionnaire/household/{id}/a-level/",4395,0,130,171,55,1013,10893,1.22,0.00,130,170,200,230,330,410,520,610,850,1000,1000,1000
"POST","/questionnaire/household/{id}/a-level/",4393,0,160,211,67,1216,277,1.22,0.00,160,210,250,290,410,520,670,770,1000,1200,1200,1200
"GET","/questionnaire/household/{id}/add-or-edit-primary-person/",2286,0,120,160,53,1315,7782,0.63,0.00,120,160,190,210,300,390,540,630,1000,1300,1300,1300
"POST","/questionnaire/household/{id}/add-or-edit-primary-person/",2284,0,140,193,64,1213,287,0.63,0.00,140,180,230,260,380,500,660,780,1000,1200,1200,1200
"GET","/questionnaire/household/{id}/another-address/",4421,0,130,164,55,1228,9645,1.23,0.00,130,160,190,220,310,400,500,590,880,1200,1200,1200
"POST","/questionnaire/household/{id}/another-address/",4420,0,150,200,66,1270,293,1.23,0.00,150,190,230,270,390,510,650,740,960,1300,1300,1300
"GET","/questionnaire/household/{id}/apprenticeship/",4396,0,130,167,55,1249,8164,1.22,0.00,130,160,200,230,320,410,540,600,850,1200,1200,1200
"POST","/questionnaire/household/{id}/apprenticeship/",4395,0,160,208,66,1286,281,1.22,0.00,160,200,250,280,410,540,680,770,1100,1300,1300,1300
"GET","/questionnaire/household/{id}/armed-forces/",4393,0,130,170,57,1190,10498,1.22,0.00,130,170,200,230,320,400,540,600,820,1200,1200,1200
"POST","/questionnaire/household/{id}/armed-forces/",4392,0,160,213,69,1308,303,1.22,0.00,160,210,250,280,420,540,670,780,1200,1300,1300,1300
"GET","/questionnaire/household/{id}/birth-gender/",4398,0,130,166,56,1547,8982,1.22,0.00,130,160,200,230,320,400,520,580,810,1500,1500,1500
"POST","/questionnaire/household/{id}/birth-gender/",4398,0,160,209,66,1430,297,1.22,0.00,160,200,250,290,410,510,640,740,960,1400,1400,1400
"GET","/questionnaire/household/{id}/business-name/",4392,0,130,169,56,893,8599,1.22,0.00,130,160,200,230,330,430,560,630,830,890,890,890
"POST","/questionnaire/household/{id}/business-name/",4392,0,160,208,68,1109,287,1.22,0.00,160,200,240,280,420,530,660,760,990,1100,1100,1100
"GET","/questionnaire/household/{id}/carer/",4402,0,130,170,56,1068,9701,1.22,0.00,130,170,200,230,330,420,530,630,900,1100,1100,1100
"POST","/questionnaire/household/{id}/carer/",4399,0,160,208,69,1264,299,1.22,0.00,160,200,240,290,410,530,650,760,960,1300,1300,1300
"GET","/questionnaire/household/{id}/confirm-dob/",4425,0,120,159,57,1119,8089,1.23,0.00,120,160,180,210,300,400,510,570,850,1100,1100,1100
"POST","/questionnaire/household/{id}/confirm-dob/",4425,0,150,200,67,1482,275,1.23,0.00,150,190,230,270,390,500,650,750,1100,1500,1500,1500
"GET","/questionnaire/household/{id}/country-of-birth/",4420,0,130,166,56,1187,9155,1.23,0.00,130,160,200,220,310,400,520,600,820,1200,1200,1200
"POST","/questionnaire/household/{id}/country-of-birth/",4418,0,150,203,68,1306,325,1.23,0.00,150,190,230,270,390,530,700,780,1200,1300,1300,1300
"GET","/questionnaire/household/{id}/current-marriage-status/",4424,0,120,161,54,1519,8075,1.23,0.00,120,160,190,220,310,400,500,580,1100,1500,1500,1500
"POST","/questionnaire/household/{id}/current-marriage-status/",4421,0,150,200,64,1208,299,1.23,0.00,150,190,230,260,390,510,630,760,1000,1200,1200,1200
"GET","/questionnaire/household/{id}/date-of-birth/",4425,0,120,162,56,1656,8510,1.23,0.00,120,160,190,210,300,400,510,590,940,1700,1700,1700
"POST","/questionnaire/household/{id}/date-of-birth/",4425,0,150,197,66,1235,291,1.23,0.00,150,190,230,260,370,500,640,760,1000,1200,1200,1200
"GET","/questionnaire/household/{id}/degree/",4395,0,130,170,56,1324,9679,1.22,0.00,130,160,200,230,340,430,530,610,840,1300,1300,1300
"POST","/questionnaire/household/{id}/degree/",4395,0,160,208,64,1373,287,1.22,0.00,160,200,250,280,410,520,670,760,1100,1400,1400,1400
"GET","/questionnaire/household/{id}/disability/",4403,0,130,172,56,1076,9485,1.22,0.00,130,170,200,230,330,430,550,630,920,1100,1100,1100
"POST","/questionnaire/household/{id}/disability/",4403,0,160,213,66,1792,279,1.22,0.00,160,210,250,280,420,540,690,780,1200,1800,1800,1800
"GET","/questionnaire/household/{id}/employer-address-workplace/",2195,0,130,173,58,984,10069,0.61,0.00,130,170,210,240,350,430,530,570,820,980,980,980
"POST","/questionnaire/household/{id}/employer-address-workplace/",2195,0,160,208,68,908,303,0.61,0.00,160,210,250,280,400,520,650,730,900,910,910,910
"GET","/questionnaire/household/{id}/employer-type-of-address/",4392,0,130,173,55,1465,8962,1.22,0.00,130,170,200,230,340,440,560,660,970,1500,1500,1500
"POST","/questionnaire/household/{id}/employer-type-of-address/",4392,0,160,208,66,1477,303,1.22,0.00,160,200,240,280,410,530,680,780,1100,1500,1500,1500
"GET","/questionnaire/household/{id}/employers-business/",4392,0,120,165,53,931,7791,1.22,0.00,120,160,190,230,330,430,540,610,800,930,930,930
"POST","/questionnaire/household/{id}/employers-business/",4392,0,150,210,68,1312,287,1.22,0.00,150,200,250,290,410,550,700,800,1200,1300,1300,1300
"GET","/questionnaire/household/{id}/employment-status/",4392,0,130,173,55,1251,10695,1.22,0.00,130,170,200,230,330,430,540,620,1000,1300,1300,1300
"POST","/questionnaire/household/{id}/employment-status/",4392,0,160,208,68,1377,311,1.22,0.00,160,200,240,280,410,530,670,750,1000,1400,1400,1400
"GET","/questionnaire/household/{id}/ethnic-group/",4415,0,130,170,56,1117,10661,1.23,0.00,130,170,200,230,320,410,530,610,950,1100,1100,1100
"POST","/questionnaire/household/{id}/ethnic-group/",4413,0,150,207,67,1815,305,1.23,0.00,150,200,240,280,410,520,670,760,1100,1800,1800,1800
"GET","/questionnaire/household/{id}/gcse/",4393,0,130,170,57,1067,10776,1.22,0.00,130,170,200,230,330,410,540,610,840,1100,1100,1100
"POST","/questionnaire/household/{id}/gcse/",4393,0,160,210,68,1108,293,1.22,0.00,160,210,250,290,420,520,670,740,1000,1100,1100,1100
"GET","/questionnaire/household/{id}/health/",4404,0,130,167,56,1278,8540,1.22,0.00,130,160,200,220,320,410,510,600,950,1300,1300,1300
"POST","/questionnaire/household/{id}/health/",4403,0,160,217,70,1394,289,1.22,0.00,160,210,250,290,430,550,710,790,1200,1400,1400,1400
"GET","/questionnaire/household/{id}/hours-worked/",4392,0,130,167,55,1351,8762,1.22,0.00,130,160,200,220,320,410,540,620,930,1400,1400,1400
"POST","/questionnaire/household/{id}/hours-worked/",4392,0,160,212,68,1309,291,1.22,0.00,160,200,250,290,420,540,690,810,1200,1300,1300,1300
"GET","/questionnaire/household/{id}/in-education/",4420,0,130,166,55,1034,7929,1.23,0.00,130,160,200,220,320,420,530,590,820,1000,1000,1000
"POST","/questionnaire/household/{id}/in-education/",4420,0,150,207,67,1341,301,1.23,0.00,150,200,240,280,410,540,680,770,1100,1300,1300,1300
"GET","/questionnaire/household/{id}/individual-interstitial/",4431,0,120,153,53,880,7171,1.23,0.00,120,150,180,200,280,370,510,590,760,880,880,880
"POST","/questionnaire/household/{id}/individual-interstitial/",4429,0,150,194,62,1110,279,1.23,0.00,150,190,230,260,370,480,620,710,1000,1100,1100,1100
"GET","/questionnaire/household/{id}/job-description/",4392,0,130,163,53,1010,7794,1.22,0.00,130,160,190,220,320,420,520,600,770,1000,1000,1000
"POST","/questionnaire/household/{id}/job-description/",4392,0,160,208,67,1205,305,1.22,0.00,160,200,250,280,420,520,660,760,1000,1200,1200,1200
"GET","/questionnaire/household/{id}/job-title/",4392,0,130,166,54,1324,7595,1.22,0.00,130,160,200,230,330,420,530,620,850,1300,1300,1300
"POST","/questionnaire/household/{id}/job-title/",4392,0,150,207,66,1225,299,1.22,0.00,150,200,250,280,410,530,660,770,1100,1200,1200,1200
"GET","/questionnaire/household/{id}/language/",4408,0,130,167,57,1092,8997,1.22,0.00,130,170,200,220,320,420,520,590,890,1100,1100,1100
"POST","/questionnaire/household/{id}/language/",4406,0,160,206,66,1612,287,1.22,0.00,160,200,240,280,400,510,640,740,1100,1600,1600,1600
"GET","/questionnaire/household/{id}/main-employment-block/",4392,0,120,162,53,1072,6987,1.22,0.00,120,160,190,220,310,420,520,580,850,1100,1100,1100
"POST","/questionnaire/household/{id}/main-employment-block/",4392,0,150,204,65,1521,295,1.22,0.00,150,200,240,280,410,520,670,790,990,1500,1500,1500
"GET","/questionnaire/household/{id}/main-job-type/",4392,0,130,169,55,1140,8540,1.22,0.00,130,160,200,220,330,440,540,630,870,1100,1100,1100
