"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/questionnaire",56,0,88,103,55,294,289,0.92,0.00,89,110,110,120,160,230,270,290,290,290,290,290
"GET","/questionnaire/",211,0,110,121,62,372,9951,3.46,0.00,110,130,140,150,190,220,260,310,370,370,370,370
"POST","/questionnaire/",211,0,99,138,53,657,296,3.46,0.00,99,140,170,180,290,330,450,520,660,660,660,660
"GET","/questionnaire/accommodation-introduction/",54,0,100,113,62,217,7826,0.89,0.00,100,120,140,150,200,210,210,220,220,220,220,220
"POST","/questionnaire/accommodation-introduction/",53,0,120,129,76,299,271,0.87,0.00,120,140,140,150,190,250,250,300,300,300,300,300
"GET","/questionnaire/accommodation-section-summary/",50,0,110,115,61,205,12525,0.82,0.00,110,130,140,150,160,180,210,210,210,210,210,210
"POST","/questionnaire/accommodation-section-summary/",50,0,140,150,81,328,233,0.82,0.00,140,160,180,200,250,250,330,330,330,330,330,330
"GET","/questionnaire/accommodation-type/",52,0,110,118,62,212,9220,0.85,0.00,110,130,150,150,190,200,210,210,210,210,210,210
"POST","/questionnaire/accommodation-type/",52,0,120,143,76,320,261,0.85,0.00,120,150,170,200,230,270,310,320,320,320,320,320
"GET","/questionnaire/any-visitors/",56,0,110,126,66,287,11947,0.92,0.00,110,140,160,160,190,230,240,290,290,290,290,290
"POST","/questionnaire/any-visitors/",56,0,120,135,75,330,319,0.92,0.00,120,150,170,180,210,230,270,330,330,330,330,330
"GET","/questionnaire/anyone-else-list-collector/",112,0,110,128,64,310,9627,1.84,0.00,110,130,150,160,200,220,270,310,310,310,310,310
"POST","/questionnaire/anyone-else-list-collector/",112,0,110,133,72,364,291,1.84,0.00,110,140,150,170,200,220,250,300,360,360,360,360
"GET","/questionnaire/anyone-else-temp-away-list-collector/",56,0,120,125,81,285,12074,0.92,0.00,120,130,140,150,190,210,220,290,290,290,290,290
"POST","/questionnaire/anyone-else-temp-away-list-collector/",56,0,120,141,79,308,259,0.92,0.00,120,160,170,180,230,250,270,310,310,310,310,310
"GET","/questionnaire/central-heating/",50,0,120,129,67,341,12114,0.82,0.00,120,150,160,160,180,220,340,340,340,340,340,340
"POST","/questionnaire/central-heating/",50,0,130,151,71,361,257,0.82,0.00,130,160,170,180,280,300,360,360,360,360,360,360
"GET","/questionnaire/household/add-person/",56,0,100,117,65,373,8592,0.92,0.00,100,120,130,140,180,230,250,370,370,370,370,370
