"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/questionnaire",101,0,100,113,57,494,289,1.65,0.00,100,120,130,140,170,200,250,430,490,490,490,490
"GET","/questionnaire/",403,0,120,136,66,458,9948,6.60,0.00,120,150,160,170,200,230,290,330,460,460,460,460
"POST","/questionnaire/",403,0,120,139,53,694,298,6.60,0.00,120,140,160,190,240,290,350,390,690,690,690,690
"GET","/questionnaire/accommodation-introduction/",100,0,130,142,66,472,7826,1.64,0.00,130,150,160,190,240,260,320,470,470,470,470,470
"POST","/questionnaire/accommodation-introduction/",100,0,130,163,73,764,271,1.64,0.00,130,160,170,200,290,360,470,760,760,760,760,760
"GET","/questionnaire/accommodation-section-summary/",100,0,130,141,70,362,12525,1.64,0.00,130,150,150,170,210,330,350,360,360,360,360,360
"POST","/questionnaire/accommodation-section-summary/",100,0,130,158,69,436,233,1.64,0.00,130,160,180,190,270,360,420,440,440,440,440,440
"GET","/questionnaire/accommodation-type/",100,0,120,138,68,438,9220,1.64,0.00,120,150,160,170,210,240,350,440,440,440,440,440
"POST","/questionnaire/accommodation-type/",100,0,150,161,75,476,261,1.64,0.00,150,170,200,210,240,280,370,480,480,480,480,480
"GET","/questionnaire/any-visitors/",100,0,140,150,79,314,11947,1.64,0.00,140,160,170,170,210,250,310,310,310,310,310,310
"POST","/questionnaire/any-visitors/",100,0,150,164,77,372,319,1.64,0.00,150,170,200,210,250,320,360,370,370,370,370,370
"GET","/questionnaire/anyone-else-list-collector/",200,0,140,148,70,398,9627,3.28,0.00,140,160,170,180,230,250,310,380,400,400,400,400
"POST","/questionnaire/anyone-else-list-collector/",200,0,150,161,73,443,291,3.28,0.00,150,170,180,200,240,280,380,410,440,440,440,440
"GET","/questionnaire/anyone-else-temp-away-list-collector/",100,0,140,143,74,297,12074,1.64,0.00,140,150,170,170,200,230,250,300,300,300,300,300
"POST","/questionnaire/anyone-else-temp-away-list-collector/",100,0,140,153,83,358,259,1.64,0.00,140,160,180,200,240,270,320,360,360,360,360,360
"GET","/questionnaire/central-heating/",100,0,140,150,65,325,12114,1.64,0.00,140,170,180,200,230,290,320,330,330,330,330,330
"POST","/questionnaire/central-heating/",100,0,140,166,71,503,257,1.64,0.00,140,170,200,230,250,310,470,500,500,500,500,500
"GET","/questionnaire/household/add-person/",100,0,130,144,65,305,8592,1.64,0.00,140,150,160,170,220,260,300,310,310,310,310,310
"POST","/questionnaire/household/add-person/",100,0,140,152,85,320,287,1.64,0.00,140,160,180,200,220,240,270,320,320,320,320,320
"GET","/questionnaire/household/{id}/a-level/",159,0,120,136,66,321,10316,2.60,0.00,120,150,160,180,200,230,290,290,320,320,320,320
"POST","/questionnaire/household/{id}/a-level/",159,0,140,153,74,367,277,2.60,0.00,140,160,180,190,230,280,290,340,370,370,370,370
"GET","/questionnaire/household/{id}/add-or-edit-primary-person/",100,0,130,140,62,410,8444,1.64,0.00,130,140,150,160,200,240,410,410,410,410,410,410
"POST","/questionnaire/household/{id}/add-or-edit-primary-person/",100,0,140,165,79,536,287,1.64,0.00,140,160,190,210,270,300,490,540,540,540,540,540
"GET","/questionnaire/household/{id}/another-address/",182,0,130,140,69,367,10817,2.98,0.00,130,150,170,180,210,240,300,340,370,370,370,370
"POST","/questionnaire/household/{id}/another-address/",181,0,140,159,76,426,293,2.96,0.00,140,160,190,200,260,300,370,400,430,430,430,430
"GET","/questionnaire/household/{id}/apprenticeship/",159,0,120,128,63,259,8911,2.60,0.00,120,140,150,160,190,200,220,250,260,260,260,260
"POST","/questionnaire/household/{id}/apprenticeship/",159,0,140,158,81,375,281,2.60,0.00,140,170,190,210,240,280,320,340,380,380,380,380
"GET","/questionnaire/household/{id}/armed-forces/",159,0,130,132,72,298,11155,2.60,0.00,130,140,150,160,200,220,250,300,300,300,300,300
"POST","/questionnaire/household/{id}/armed-forces/",159,0,140,156,83,392,303,2.60,0.00,140,170,190,200,250,300,310,370,390,390,390,390
"GET","/questionnaire/household/{id}/birth-gender/",159,0,130,143,71,452,9596,2.60,0.00,130,150,170,180,220,260,310,360,450,450,450,450
"POST","/questionnaire/household/{id}/birth-gender/",159,0,140,158,77,536,297,2.60,0.00,140,160,190,200,240,290,330,370,540,540,540,540
"GET","/questionnaire/household/{id}/business-name/",158,0,130,135,68,310,9255,2.59,0.00,130,140,160,170,200,220,260,290,310,310,310,310
"POST","/questionnaire/household/{id}/business-name/",158,0,140,157,80,366,287,2.59,0.00,140,160,180,180,240,310,340,360,370,370,370,370
"GET","/questionnaire/household/{id}/carer/",159,0,130,140,65,360,10357,2.60,0.00,130,150,160,170,220,250,280,310,360,360,360,360
"POST","/questionnaire/household/{id}/carer/",159,0,150,165,78,549,299,2.60,0.00,150,180,200,220,260,300,380,450,550,550,550,550
"GET","/questionnaire/household/{id}/confirm-dob/",190,0,120,140,64,649,8741,3.11,0.00,120,140,160,180,220,260,360,380,650,650,650,650
"POST","/questionnaire/household/{id}/confirm-dob/",190,0,140,162,77,419,275,3.11,0.00,140,170,200,220,260,290,330,330,420,420,420,420
"GET","/questionnaire/household/{id}/country-of-birth/",176,0,120,142,67,594,10200,2.88,0.00,130,150,170,180,210,240,280,480,590,590,590,590
"POST","/questionnaire/household/{id}/country-of-birth/",175,0,150,163,83,404,325,2.87,0.00,150,180,200,210,250,300,360,400,400,400,400,400
"GET","/questionnaire/household/{id}/current-marriage-status/",185,0,120,134,64,341,8736,3.03,0.00,120,150,160,180,210,230,280,320,340,340,340,340
"POST","/questionnaire/household/{id}/current-marriage-status/",184,0,150,166,75,479,299,3.01,0.00,150,180,190,210,250,310,400,450,480,480,480,480
"GET","/questionnaire/household/{id}/date-of-birth/",193,0,130,145,69,457,9172,3.16,0.00,130,160,180,190,210,240,290,400,460,460,460,460
"POST","/questionnaire/household/{id}/date-of-birth/",192,0,140,153,76,389,291,3.14,0.00,140,160,170,190,240,280,330,370,390,390,390,390
"GET","/questionnaire/household/{id}/degree/",159,0,130,132,65,335,9080,2.60,0.00,130,140,150,160,190,240,260,290,340,340,340,340
"POST","/questionnaire/household/{id}/degree/",159,0,140,155,74,386,287,2.60,0.00,140,170,180,200,240,260,290,330,390,390,390,390
"GET","/questionnaire/household/{id}/disability/",162,0,130,139,66,332,10142,2.65,0.00,130,150,170,180,230,240,270,280,330,330,330,330
"POST","/questionnaire/household/{id}/disability/",161,0,130,153,82,623,279,2.64,0.00,130,150,170,190,250,310,340,390,620,620,620,620
"GET","/questionnaire/household/{id}/employer-address-workplace/",58,0,120,135,78,250,10731,0.95,0.00,130,150,170,180,190,220,230,250,250,250,250,250
"POST","/questionnaire/household/{id}/employer-address-workplace/",58,0,150,161,80,405,283,0.95,0.00,150,170,180,190,240,300,320,410,410,410,410,410
"GET","/questionnaire/household/{id}/employer-type-of-address/",154,0,130,141,65,543,9618,2.52,0.00,130,150,160,180,220,280,300,470,540,540,540,540
"POST","/questionnaire/household/{id}/employer-type-of-address/",153,0,140,150,74,487,290,2.51,0.00,140,160,170,180,220,260,290,300,490,490,490,490
"GET","/questionnaire/household/{id}/employers-business/",158,0,120,130,64,337,8451,2.59,0.00,120,140,150,160,200,230,250,270,340,340,340,340
"POST","/questionnaire/household/{id}/employers-business/",158,0,140,160,78,434,287,2.59,0.00,140,170,180,200,260,310,400,430,430,430,430,430
"GET","/questionnaire/household/{id}/employment-status/",159,0,140,142,67,314,11352,2.60,0.00,140,160,170,180,210,250,290,310,310,310,310,310
