"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/questionnaire",66,0,180,216,75,895,289,1.08,0.00,180,230,260,320,400,480,500,900,900,900,900,900
"GET","/questionnaire/",215,0,180,230,81,875,9925,3.52,0.00,180,230,290,320,420,540,770,780,880,880,880,880
"POST","/questionnaire/",215,0,170,228,66,1203,300,3.52,0.00,170,240,310,330,430,560,640,780,1200,1200,1200,1200
"GET","/questionnaire/accommodation-introduction/",63,0,210,274,83,862,7826,1.03,0.00,210,290,370,410,510,640,770,860,860,860,860,860
"POST","/questionnaire/accommodation-introduction/",61,0,240,332,112,1063,271,1.00,0.00,240,380,450,510,610,710,1000,1100,1100,1100,1100,1100
"GET","/questionnaire/accommodation-section-summary/",60,0,190,241,88,827,12525,0.98,0.00,190,260,300,350,410,570,750,830,830,830,830,830
"POST","/questionnaire/accommodation-section-summary/",60,0,170,289,101,1247,233,0.98,0.00,170,240,410,450,640,800,810,1200,1200,1200,1200,1200
"GET","/questionnaire/accommodation-type/",61,0,200,260,100,778,9220,1.00,0.00,200,310,380,400,440,470,740,780,780,780,780,780
"POST","/questionnaire/accommodation-type/",61,0,220,304,106,1032,261,1.00,0.00,220,360,400,460,600,720,900,1000,1000,1000,1000,1000
"GET","/questionnaire/any-visitors/",66,0,240,298,94,970,11947,1.08,0.00,260,320,390,460,550,740,890,970,970,970,970,970
"POST","/questionnaire/any-visitors/",66,0,250,379,100,1071,319,1.08,0.00,260,500,600,630,690,860,1000,1100,1100,1100,1100,1100
"GET","/questionnaire/anyone-else-list-collector/",132,0,210,288,91,1040,9627,2.16,0.00,210,320,390,420,580,660,770,840,1000,1000,1000,1000
"POST","/questionnaire/anyone-else-list-collector/",132,0,300,367,97,1094,291,2.16,0.00,310,440,530,560,710,800,990,1000,1100,1100,1100,1100
"GET","/questionnaire/anyone-else-temp-away-list-collector/",66,0,250,326,90,1088,12074,1.08,0.00,250,360,440,480,630,840,870,1100,1100,1100,1100,1100
"POST","/questionnaire/anyone-else-temp-away-list-collector/",66,0,280,395,95,1231,259,1.08,0.00,300,460,650,670,760,800,1000,1200,1200,1200,1200,1200
"GET","/questionnaire/central-heating/",61,0,200,262,86,795,12114,1.00,0.00,200,260,350,420,530,540,770,800,800,800,800,800
"POST","/questionnaire/central-heating/",61,0,200,321,93,1294,257,1.00,0.00,200,340,360,430,610,920,1100,1300,1300,1300,1300,1300
"GET","/questionnaire/household/add-person/",66,0,240,318,85,907,8592,1.08,0.00,270,330,430,480,680,750,850,910,910,910,910,910
"POST","/questionnaire/household/add-person/",66,0,320,421,91,1496,287,1.08,0.00,340,420,620,740,900,1100,1100,1500,1500,1500,1500,1500
"GET","/questionnaire/household/{id}/a-level/",105,0,180,201,91,632,10319,1.72,0.00,180,210,230,250,300,360,430,590,630,630,630,630
"POST","/questionnaire/household/{id}/a-level/",105,0,190,218,91,752,277,1.72,0.00,190,240,270,300,340,410,490,500,750,750,750,750
