"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/questionnaire",4,0,60,76,57,126,289,0.07,0.00,61,61,130,130,130,130,130,130,130,130,130,130
"GET","/questionnaire/",15,0,69,73,65,104,9973,0.25,0.00,69,71,73,78,98,100,100,100,100,100,100,100
"POST","/questionnaire/",15,0,61,90,56,221,293,0.25,0.00,61,63,64,200,210,220,220,220,220,220,220,220
"GET","/questionnaire/accommodation-introduction/",3,0,75,74,68,79,7826,0.05,0.00,75,75,79,79,79,79,79,79,79,79,79,79
"POST","/questionnaire/accommodation-introduction/",3,0,88,99,75,136,271,0.05,0.00,88,88,140,140,140,140,140,140,140,140,140,140
"GET","/questionnaire/accommodation-section-summary/",3,0,71,70,65,75,12525,0.05,0.00,71,71,75,75,75,75,75,75,75,75,75,75
"POST","/questionnaire/accommodation-section-summary/",3,0,83,82,77,88,233,0.05,0.00,83,83,88,88,88,88,88,88,88,88,88,88
"GET","/questionnaire/accommodation-type/",3,0,81,87,67,114,9220,0.05,0.00,81,81,110,110,110,110,110,110,110,110,110,110
"POST","/questionnaire/accommodation-type/",3,0,93,105,89,134,261,0.05,0.00,93,93,130,130,130,130,130,130,130,130,130,130
"GET","/questionnaire/any-visitors/",3,0,74,74,69,81,11947,0.05,0.00,74,74,81,81,81,81,81,81,81,81,81,81
"POST","/questionnaire/any-visitors/",3,0,83,95,78,123,319,0.05,0.00,83,83,120,120,120,120,120,120,120,120,120,120
"GET","/questionnaire/anyone-else-list-collector/",8,0,69,72,65,90,9627,0.13,0.00,69,71,80,80,90,90,90,90,90,90,90,90
"POST","/questionnaire/anyone-else-list-collector/",8,0,79,86,77,116,291,0.13,0.00,80,90,92,92,120,120,120,120,120,120,120,120
"GET","/questionnaire/anyone-else-temp-away-list-collector/",3,0,70,75,69,85,12074,0.05,0.00,70,70,86,86,86,86,86,86,86,86,86,86
