"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/questionnaire",15,0,77,86,61,135,289,0.25,0.00,77,80,120,120,130,140,140,140,140,140,140,140
"GET","/questionnaire/",62,0,84,91,70,146,9955,1.02,0.00,84,88,94,99,120,130,140,150,150,150,150,150
"POST","/questionnaire/",62,0,75,101,64,270,295,1.02,0.00,75,80,92,100,220,240,250,270,270,270,270,270
"GET","/questionnaire/accommodation-introduction/",15,0,80,88,70,128,7826,0.25,0.00,80,86,95,120,120,130,130,130,130,130,130,130
"POST","/questionnaire/accommodation-introduction/",15,0,97,98,82,147,271,0.25,0.00,97,98,100,100,120,150,150,150,150,150,150,150
"GET","/questionnaire/accommodation-section-summary/",15,0,89,98,79,168,12525,0.25,0.00,89,91,100,120,140,170,170,170,170,170,170,170
"POST","/questionnaire/accommodation-section-summary/",15,0,93,98,81,138,233,0.25,0.00,93,100,110,110,130,140,140,140,140,140,140,140
"GET","/questionnaire/accommodation-type/",15,0,86,89,78,127,9220,0.25,0.00,86,88,89,90,120,130,130,130,130,130,130,130
"POST","/questionnaire/accommodation-type/",15,0,91,96,84,115,261,0.25,0.00,91,98,110,110,110,120,120,120,120,120,120,120
"GET","/questionnaire/any-visitors/",15,0,91,103,76,147,11947,0.25,0.00,91,120,120,130,140,150,150,150,150,150,150,150
"POST","/questionnaire/any-visitors/",15,0,95,94,80,111,319,0.25,0.00,95,95,97,100,100,110,110,110,110,110,110,110
"GET","/questionnaire/anyone-else-list-collector/",30,0,91,95,76,161,9627,0.49,0.00,92,94,100,110,130,140,160,160,160,160,160,160
"POST","/questionnaire/anyone-else-list-collector/",30,0,110,114,85,170,291,0.49,0.00,110,120,130,130,140,170,170,170,170,170,170,170
"GET","/questionnaire/anyone-else-temp-away-list-collector/",15,0,87,94,77,149,12074,0.25,0.00,87,92,100,100,140,150,150,150,150,150,150,150
"POST","/questionnaire/anyone-else-temp-away-list-collector/",15,0,96,100,80,131,259,0.25,0.00,96,100,120,120,120,130,130,130,130,130,130,130
"GET","/questionnaire/central-heating/",15,0,91,102,78,148,12114,0.25,0.00,91,99,130,130,130,150,150,150,150,150,150,150
"POST","/questionnaire/central-heating/",15,0,97,107,86,193,257,0.25,0.00,97,110,120,130,130,190,190,190,190,190,190,190
"GET","/questionnaire/household/add-person/",15,0,90,94,76,132,8592,0.25,0.00,90,95,100,110,130,130,130,130,130,130,130,130
"POST","/questionnaire/household/add-person/",15,0,110,108,90,144,287,0.25,0.00,110,110,110,120,130,140,140,140,140,140,140,140
"GET","/questionnaire/household/{id}/a-level/",25,0,87,93,74,126,10317,0.41,0.00,87,96,110,110,120,130,130,130,130,130,130,130
"POST","/questionnaire/household/{id}/a-level/",25,0,100,107,84,173,277,0.41,0.00,100,110,120,120,130,140,170,170,170,170,170,170
"GET","/questionnaire/household/{id}/add-or-edit-primary-person/",15,0,85,90,71,135,8444,0.25,0.00,85,88,96,100,130,140,140,140,140,140,140,140
"POST","/questionnaire/household/{id}/add-or-edit-primary-person/",15,0,99,108,82,164,287,0.25,0.00,99,110,130,130,150,160,160,160,160,160,160,160
"GET","/questionnaire/household/{id}/another-address/",25,0,85,89,74,127,10815,0.41,0.00,85,90,90,97,110,120,130,130,130,130,130,130
"POST","/questionnaire/household/{id}/another-address/",25,0,100,108,85,185,293,0.41,0.00,100,110,110,120,140,140,190,190,190,190,190,190
"GET","/questionnaire/household/{id}/apprenticeship/",25,0,83,86,73,123,8912,0.41,0.00,83,88,89,92,98,120,120,120,120,120,120,120
"POST","/questionnaire/household/{id}/apprenticeship/",25,0,100,111,90,162,281,0.41,0.00,100,110,120,130,150,160,160,160,160,160,160,160
"GET","/questionnaire/household/{id}/armed-forces/",25,0,91,100,77,139,11157,0.41,0.00,91,110,120,120,130,140,140,140,140,140,140,140
"POST","/questionnaire/household/{id}/armed-forces/",25,0,96,100,88,145,303,0.41,0.00,96,100,100,110,120,130,150,150,150,150,150,150
