"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/questionnaire",3,0,98,104,75,140,289,0.05,0.00,98,98,140,140,140,140,140,140,140,140,140,140
"GET","/questionnaire/",13,0,80,88,72,125,9956,0.21,0.00,80,82,82,120,120,130,130,130,130,130,130,130
"POST","/questionnaire/",13,0,76,103,65,254,296,0.21,0.00,76,92,100,110,220,250,250,250,250,250,250,250
"GET","/questionnaire/accommodation-introduction/",3,0,78,76,70,81,7826,0.05,0.00,78,78,81,81,81,81,81,81,81,81,81,81
"POST","/questionnaire/accommodation-introduction/",3,0,99,100,94,108,271,0.05,0.00,99,99,110,110,110,110,110,110,110,110,110,110
"GET","/questionnaire/accommodation-section-summary/",3,0,79,78,76,81,12525,0.05,0.00,79,79,81,81,81,81,81,81,81,81,81,81
"POST","/questionnaire/accommodation-section-summary/",3,0,97,97,95,101,233,0.05,0.00,97,97,100,100,100,100,100,100,100,100,100,100
"GET","/questionnaire/accommodation-type/",3,0,78,78,76,81,9220,0.05,0.00,78,78,82,82,82,82,82,82,82,82,82,82
"POST","/questionnaire/accommodation-type/",3,0,110,118,98,151,261,0.05,0.00,110,110,150,150,150,150,150,150,150,150,150,150
"GET","/questionnaire/any-visitors/",3,0,84,88,77,104,11947,0.05,0.00,84,84,100,100,100,100,100,100,100,100,100,100
"POST","/questionnaire/any-visitors/",3,0,96,108,89,140,319,0.05,0.00,96,96,140,140,140,140,140,140,140,140,140,140
"GET","/questionnaire/anyone-else-list-collector/",6,0,83,87,77,112,9627,0.10,0.00,83,83,87,87,110,110,110,110,110,110,110,110
"POST","/questionnaire/anyone-else-list-collector/",6,0,92,97,91,110,291,0.10,0.00,92,92,110,110,110,110,110,110,110,110,110,110
"GET","/questionnaire/anyone-else-temp-away-list-collector/",3,0,79,80,79,82,12074,0.05,0.00,79,79,83,83,83,83,83,83,83,83,83,83
"POST","/questionnaire/anyone-else-temp-away-list-collector/",3,0,85,91,83,105,259,0.05,0.00,85,85,110,110,110,110,110,110,110,110,110,110
"GET","/questionnaire/central-heating/",3,0,83,79,73,83,12114,0.05,0.00,83,83,83,83,83,83,83,83,83,83,83,83
"POST","/questionnaire/central-heating/",3,0,130,122,89,148,257,0.05,0.00,130,130,150,150,150,150,150,150,150,150,150,150
"GET","/questionnaire/household/add-person/",3,0,82,80,76,82,8592,0.05,0.00,82,82,83,83,83,83,83,83,83,83,83,83
"POST","/questionnaire/household/add-person/",3,0,120,142,95,207,287,0.05,0.00,120,120,210,210,210,210,210,210,210,210,210,210
"GET","/questionnaire/household/{id}/a-level/",5,0,85,93,82,120,10317,0.08,0.00,85,92,92,120,120,120,120,120,120,120,120,120
"POST","/questionnaire/household/{id}/a-level/",5,0,94,92,86,94,277,0.08,0.00,94,94,94,95,95,95,95,95,95,95,95,95
"GET","/questionnaire/household/{id}/add-or-edit-primary-person/",3,0,83,83,82,84,8444,0.05,0.00,83,83,85,85,85,85,85,85,85,85,85,85
"POST","/questionnaire/household/{id}/add-or-edit-primary-person/",3,0,89,96,89,110,287,0.05,0.00,89,89,110,110,110,110,110,110,110,110,110,110
