"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/questionnaire",52,0,110,120,69,286,289,0.85,0.00,110,130,150,160,180,190,200,290,290,290,290,290
"GET","/questionnaire/",196,0,130,137,76,428,9950,3.21,0.00,130,150,160,170,190,220,250,310,430,430,430,430
"POST","/questionnaire/",195,0,110,149,64,509,296,3.20,0.00,110,140,190,210,300,340,390,420,510,510,510,510
"GET","/questionnaire/accommodation-introduction/",50,0,130,142,71,354,7826,0.82,0.00,130,150,160,180,260,270,350,350,350,350,350,350
"POST","/questionnaire/accommodation-introduction/",50,0,150,161,96,298,271,0.82,0.00,160,180,190,200,250,290,300,300,300,300,300,300
"GET","/questionnaire/accommodation-section-summary/",50,0,120,144,77,254,12525,0.82,0.00,130,150,170,200,220,250,250,250,250,250,250,250
"POST","/questionnaire/accommodation-section-summary/",50,0,130,171,85,584,233,0.82,0.00,140,180,210,240,280,330,580,580,580,580,580,580
"GET","/questionnaire/accommodation-type/",50,0,130,135,76,268,9220,0.82,0.00,130,140,150,160,190,240,270,270,270,270,270,270
"POST","/questionnaire/accommodation-type/",50,0,150,164,87,305,261,0.82,0.00,160,180,190,220,270,290,310,310,310,310,310,310
"GET","/questionnaire/any-visitors/",50,0,110,137,90,320,11947,0.82,0.00,110,150,170,200,210,230,320,320,320,320,320,320
"POST","/questionnaire/any-visitors/",50,0,150,172,92,356,319,0.82,0.00,160,200,200,240,280,320,360,360,360,360,360,360
"GET","/questionnaire/anyone-else-list-collector/",101,0,120,138,72,357,9624,1.66,0.00,120,140,160,170,190,220,300,300,360,360,360,360
"POST","/questionnaire/anyone-else-list-collector/",101,0,140,152,89,402,290,1.66,0.00,140,160,170,190,240,250,260,310,400,400,400,400
"GET","/questionnaire/anyone-else-temp-away-list-collector/",50,0,140,138,85,223,12074,0.82,0.00,140,150,160,180,200,210,220,220,220,220,220,220
"POST","/questionnaire/anyone-else-temp-away-list-collector/",50,0,150,154,94,273,259,0.82,0.00,150,170,190,210,220,240,270,270,270,270,270,270
"GET","/questionnaire/central-heating/",50,0,140,151,87,500,12114,0.82,0.00,140,150,170,180,210,260,500,500,500,500,500,500
"POST","/questionnaire/central-heating/",50,0,130,162,89,383,257,0.82,0.00,130,180,200,220,270,340,380,380,380,380,380,380
"GET","/questionnaire/household/add-person/",51,0,110,133,79,268,8592,0.84,0.00,110,160,170,180,220,250,250,270,270,270,270,270
"POST","/questionnaire/household/add-person/",51,0,150,168,92,351,287,0.84,0.00,150,180,190,200,240,330,330,350,350,350,350,350
"GET","/questionnaire/household/{id}/a-level/",81,0,120,137,74,258,10317,1.33,0.00,120,150,160,170,200,230,250,260,260,260,260,260
"POST","/questionnaire/household/{id}/a-level/",81,0,150,169,88,928,277,1.33,0.00,150,170,190,200,250,300,340,930,930,930,930,930
"GET","/questionnaire/household/{id}/add-or-edit-primary-person/",51,0,130,137,76,351,8444,0.84,0.00,130,150,170,170,190,220,250,350,350,350,350,350
"POST","/questionnaire/household/{id}/add-or-edit-primary-person/",51,0,150,158,85,404,287,0.84,0.00,150,170,180,180,220,310,340,400,400,400,400,400
"GET","/questionnaire/household/{id}/another-address/",84,0,130,145,83,323,10815,1.38,0.00,130,150,170,180,210,260,310,320,320,320,320,320
"POST","/questionnaire/household/{id}/another-address/",84,0,140,174,89,754,293,1.38,0.00,140,170,200,210,300,340,400,750,750,750,750,750
"GET","/questionnaire/household/{id}/apprenticeship/",81,0,130,134,76,239,8912,1.33,0.00,130,140,150,160,190,230,230,240,240,240,240,240
"POST","/questionnaire/household/{id}/apprenticeship/",81,0,130,148,88,334,281,1.33,0.00,130,160,170,180,220,250,330,330,330,330,330,330
"GET","/questionnaire/household/{id}/armed-forces/",78,0,130,146,82,397,11156,1.28,0.00,130,160,180,180,220,250,290,400,400,400,400,400
"POST","/questionnaire/household/{id}/armed-forces/",78,0,140,159,80,409,303,1.28,0.00,140,170,190,200,230,310,350,410,410,410,410,410
"GET","/questionnaire/household/{id}/birth-gender/",81,0,140,160,80,1216,9597,1.33,0.00,140,160,170,180,230,250,320,1200,1200,1200,1200,1200
"POST","/questionnaire/household/{id}/birth-gender/",81,0,140,160,87,470,297,1.33,0.00,140,160,180,180,220,340,420,470,470,470,470,470
"GET","/questionnaire/household/{id}/business-name/",73,0,120,149,75,853,9257,1.20,0.00,120,140,160,170,240,300,350,850,850,850,850,850
"POST","/questionnaire/household/{id}/business-name/",73,0,140,158,86,382,287,1.20,0.00,140,170,180,190,220,330,370,380,380,380,380,380
"GET","/questionnaire/household/{id}/carer/",81,0,130,142,76,294,10358,1.33,0.00,130,150,170,180,230,250,280,290,290,290,290,290
