Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,//questionnaire,202,0,94,109.7758386138882,51.15230000228621,607.8907999908552,289.0,0.33707406985922883,0.0,95,100,110,110,140,180,360,390,610,610,610
GET,/questionnaire/,985,0,100.0,113.96695167522967,54.06340002082288,656.4481999957934,27233.15228426396,1.6436532614422794,0.0,100,110,120,120,140,170,360,390,660,660,660
POST,/questionnaire/,985,0,100,138.79299441631412,47.69130001659505,840.8590999897569,298.10253807106596,1.6436532614422794,0.0,100,120,190,210,250,300,400,430,840,840,840
GET,/questionnaire/accommodation-introduction/,200,0,98,114.9248840007931,56.57539999810979,651.5904999978375,16729.0,0.33373670283091966,0.0,98,110,120,120,140,190,370,390,650,650,650
POST,/questionnaire/accommodation-introduction/,200,0,110.0,129.60652599926107,72.40470001124777,701.3587999972515,275.0,0.33373670283091966,0.0,110,120,130,130,160,280,440,500,700,700,700
GET,/questionnaire/accommodation-type/,200,0,100.0,113.98641099920496,58.53330000536516,432.3063000047114,19607.0,0.33373670283091966,0.0,100,110,120,120,150,180,340,390,430,430,430
POST,/questionnaire/accommodation-type/,200,0,110.0,134.8012124982779,72.14149998617359,466.3177999900654,265.0,0.33373670283091966,0.0,110,130,140,140,200,280,420,420,470,470,470
GET,/questionnaire/any-more-people-living-here/,200,0,100.0,119.0936940012034,68.94279998959973,503.7000000011176,25769.0,0.33373670283091966,0.0,100,120,130,130,160,170,380,400,500,500,500
POST,/questionnaire/any-more-people-living-here/,200,0,120.0,137.44495300008566,74.92169999750331,465.7924000057392,263.0,0.33373670283091966,0.0,120,130,140,150,230,290,400,430,470,470,470
GET,/questionnaire/any-more-visitors/,200,0,100.0,107.72410100064008,54.70370000693947,373.6524000123609,20877.0,0.33373670283091966,0.0,100,110,110,120,130,160,330,360,370,370,370
POST,/questionnaire/any-more-visitors/,200,0,110.0,128.66322349887923,71.65179998264648,585.3752999973949,343.0,0.33373670283091966,0.0,110,120,130,140,160,250,410,460,590,590,590
GET,/questionnaire/any-visitors/,200,0,100.0,128.03900400118437,61.83759999112226,623.9417000033427,22923.0,0.33373670283091966,0.0,110,110,120,130,170,360,400,450,620,620,620
POST,/questionnaire/any-visitors/,200,0,120.0,139.92687250021845,68.68090000352822,463.7720000173431,359.0,0.33373670283091966,0.0,120,130,140,150,210,320,420,420,460,460,460
GET,/questionnaire/central-heating/,200,0,100.0,116.23712400018121,60.334600013447925,410.76530001009814,24156.0,0.33373670283091966,0.0,100,110,120,120,150,220,360,380,410,410,410
