Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,//questionnaire,284,0,170.0,212.8859271119516,58.50230000214651,793.0519999936223,289.0,0.4738249852657914,0.0,170,240,270,300,390,480,660,720,790,790,790
GET,/questionnaire/,1278,0,120.0,146.91262425580524,59.75300000864081,614.2080000136048,27189.5,2.1322124336960617,0.0,120,140,160,180,240,350,390,450,610,610,610
POST,/questionnaire/,1278,0,110.0,174.77704076691154,52.45739998645149,1326.175800000783,299.77777777777777,2.1322124336960617,0.0,110,140,180,230,400,520,720,870,1100,1300,1300
GET,/questionnaire/accommodation-introduction/,284,0,96,110.7676919009848,56.474899989552796,396.4759999944363,16729.0,0.4738249852657914,0.0,96,110,110,120,150,190,350,370,400,400,400
POST,/questionnaire/accommodation-introduction/,284,0,110.0,129.95104788754193,69.38939998508431,477.68969999742694,275.0,0.4738249852657914,0.0,110,130,140,150,180,230,290,390,480,480,480
GET,/questionnaire/accommodation-type/,284,0,100.0,126.03251619703501,59.01510000694543,427.2064000251703,19607.0,0.4738249852657914,0.0,100,110,120,140,200,350,380,400,430,430,430
POST,/questionnaire/accommodation-type/,284,0,120.0,137.8398672530008,69.5183000061661,389.7135999868624,265.0,0.4738249852657914,0.0,120,140,150,160,210,240,270,320,390,390,390
GET,/questionnaire/any-more-people-living-here/,284,0,140.0,169.95293661920456,71.1293000204023,516.9089000264648,25769.0,0.4738249852657914,0.0,140,170,190,220,330,380,460,500,520,520,520
POST,/questionnaire/any-more-people-living-here/,284,0,150.0,167.75544190135355,83.18590000271797,457.53220000187866,263.0,0.4738249852657914,0.0,150,170,190,210,260,320,400,430,460,460,460
GET,/questionnaire/any-more-visitors/,284,0,120.0,132.79667218257984,62.91469998541288,442.3864000127651,20877.0,0.4738249852657914,0.0,120,130,150,160,190,230,340,400,440,440,440
POST,/questionnaire/any-more-visitors/,284,0,130.0,152.40142816795745,76.65360000100918,544.3865999986883,343.0,0.4738249852657914,0.0,130,150,170,180,240,290,340,400,540,540,540
GET,/questionnaire/any-visitors/,284,0,130.0,152.9146605629341,72.23300001351163,586.1662999959663,22923.0,0.4738249852657914,0.0,130,150,170,180,260,360,430,470,590,590,590
POST,/questionnaire/any-visitors/,284,0,140.0,163.29018380304365,79.10799997625872,678.392800007714,359.0,0.4738249852657914,0.0,140,160,170,200,260,350,420,480,680,680,680
GET,/questionnaire/central-heating/,284,0,110.0,126.87364260565234,63.494700007140636,418.89100000844337,24156.0,0.4738249852657914,0.0,110,130,140,150,180,230,370,410,420,420,420
POST,/questionnaire/central-heating/,284,0,130.0,152.5283292246225,71.58869999693707,658.2552999898326,261.0,0.4738249852657914,0.0,130,150,170,180,220,260,460,560,660,660,660
GET,/questionnaire/coronavirus-circumstances/,284,0,160.0,210.49903943650196,58.49929997930303,740.3177999949548,15720.0,0.4738249852657914,0.0,160,220,260,300,390,500,590,650,740,740,740
POST,/questionnaire/coronavirus-circumstances/,284,0,160.0,205.61207183150978,74.62629998917691,779.4140999903902,305.0,0.4738249852657914,0.0,160,210,240,270,350,490,620,760,780,780,780
GET,/questionnaire/do-you-usually-live-here/,284,0,130.0,166.45165774594128,69.21300000976771,524.6006000088528,20645.0,0.4738249852657914,0.0,130,170,200,220,300,340,410,500,520,520,520
POST,/questionnaire/do-you-usually-live-here/,284,0,150.0,177.42497711274348,75.81539999227971,514.7244999825489,307.0,0.4738249852657914,0.0,150,180,200,220,290,350,450,490,510,510,510
GET,/questionnaire/household/people-living-here-add-person/,284,0,150.0,180.74595668993834,65.37699999171309,714.893900003517,18372.0,0.4738249852657914,0.0,150,190,230,250,300,350,450,620,710,710,710
POST,/questionnaire/household/people-living-here-add-person/,284,0,170.0,191.48345176162508,81.02290000533685,617.7121000073384,275.0,0.4738249852657914,0.0,170,210,240,260,340,380,430,450,620,620,620
GET,/questionnaire/household/{id}/a-level/,512,0,150.0,174.10218105271724,73.70090001495555,752.3849999997765,22949.921875,0.8542196917467789,0.0,150,180,200,220,280,360,420,430,750,750,750
POST,/questionnaire/household/{id}/a-level/,506,0,180.0,212.78097173823696,81.37160001206212,602.6290000008885,281.0,0.8442093047341214,0.0,180,220,260,280,350,450,510,550,600,600,600
GET,/questionnaire/household/{id}/another-address/,568,0,150.0,174.84807535240665,72.84049998270348,604.3996000080369,21200.0,0.9476499705315828,0.0,150,180,200,220,300,370,410,450,600,600,600
POST,/questionnaire/household/{id}/another-address/,568,0,170.0,200.84592517577875,76.72650000313297,624.0809999871999,297.0,0.9476499705315828,0.0,170,210,240,260,320,400,490,530,620,620,620
GET,/questionnaire/household/{id}/apprenticeship/,534,0,140.0,161.1493247193162,74.77590002235956,557.4992000183556,18840.85393258427,0.8909244441265234,0.0,140,160,180,200,240,330,380,450,560,560,560
POST,/questionnaire/household/{id}/apprenticeship/,526,0,170.0,192.47429847898547,84.51280000736006,560.2459000074305,315.0,0.87757726144298,0.0,170,200,230,250,290,330,420,460,560,560,560
GET,/questionnaire/household/{id}/armed-forces/,501,0,160.0,186.1539602795748,70.3135000076145,588.1386999972165,21755.191616766468,0.8358673155569067,0.0,160,190,220,240,310,390,450,480,590,590,590
POST,/questionnaire/household/{id}/armed-forces/,499,0,180.0,206.88715130180532,84.27849999861792,622.8873999789357,339.0,0.8325305198860209,0.0,180,220,230,250,330,430,500,580,620,620,620
GET,/questionnaire/household/{id}/business-name/,497,0,150.0,168.73372977862314,64.50690000201575,529.7515999991447,19258.85714285714,0.829193724215135,0.0,150,170,190,210,280,370,450,460,530,530,530
POST,/questionnaire/household/{id}/business-name/,497,0,170.0,197.08922676101676,84.11930000875145,700.7358999981079,291.0,0.829193724215135,0.0,170,200,230,250,320,400,490,570,700,700,700
GET,/questionnaire/household/{id}/business-type/,497,0,130.0,152.5688243458812,65.67020001239143,492.2689000086393,18101.0,0.829193724215135,0.0,130,160,170,180,240,330,410,450,490,490,490
POST,/questionnaire/household/{id}/business-type/,497,0,170.0,185.95723480777207,84.57770000677556,575.3240000049118,305.0,0.829193724215135,0.0,170,200,220,230,290,350,430,490,580,580,580
GET,/questionnaire/household/{id}/confirm-age/,568,0,130.0,156.14017288762753,67.37810000777245,554.9222000117879,18418.0,0.9476499705315828,0.0,130,150,170,190,240,340,420,460,550,550,550
POST,/questionnaire/household/{id}/confirm-age/,568,0,180.0,197.4826846835896,86.3309999986086,551.8445000052452,279.0,0.9476499705315828,0.0,180,210,230,240,300,390,470,520,550,550,550
GET,/questionnaire/household/{id}/confirm-who-is-answering/,568,0,120.0,145.33526654957595,67.20389999100007,652.3009999946225,18508.0,0.9476499705315828,0.0,120,140,150,170,220,350,410,430,650,650,650
POST,/questionnaire/household/{id}/confirm-who-is-answering/,568,0,160.0,177.17222781618443,80.08290000725538,674.5939000102226,299.0,0.9476499705315828,0.0,160,180,210,220,260,320,440,520,670,670,670
GET,/questionnaire/household/{id}/country-of-birth/,568,0,150.0,175.8953716541238,72.34129999415018,630.1876999787055,21354.5,0.9476499705315828,0.0,150,180,210,230,280,370,430,480,630,630,630
POST,/questionnaire/household/{id}/country-of-birth/,568,0,180.0,201.03215669028864,93.33930001594126,599.7051000013016,315.0,0.9476499705315828,0.0,180,210,250,260,310,390,470,520,600,600,600
GET,/questionnaire/household/{id}/date-of-birth/,568,0,130.0,149.16801707710272,67.96999997459352,1142.2330999921542,18846.0,0.9476499705315828,0.0,130,150,160,180,230,320,380,440,1100,1100,1100
POST,/questionnaire/household/{id}/date-of-birth/,568,0,170.0,187.97288468371156,86.7930999957025,518.8159999961499,295.0,0.9476499705315828,0.0,170,200,230,250,290,340,400,420,520,520,520
GET,/questionnaire/household/{id}/degree-level-or-above/,526,0,140.0,160.10203022793547,68.47520000883378,471.4154000103008,21533.562737642587,0.87757726144298,0.0,140,160,190,200,240,310,400,420,470,470,470
POST,/questionnaire/household/{id}/degree-level-or-above/,517,0,190.0,212.70017930348376,86.87410000129603,738.5778999887407,291.0,0.8625616809239935,0.0,190,230,250,270,360,410,460,500,740,740,740
GET,/questionnaire/household/{id}/employment-status-last-seven-days/,498,0,160.0,182.04852469916733,67.40699999500066,644.9801999842748,22684.329317269076,0.830862122050578,0.0,160,180,210,220,310,390,450,470,640,640,640
