Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,99.999%,100%
GET,//questionnaire,3,0,41,53.90191078186035,40.48514366149902,79.9870491027832,305.0,0.010016914055405965,0.0,41,41,80,80,80,80,80,80,80,80,80,80
GET,/questionnaire/,12,0,50,62.98518180847168,45.58372497558594,108.65426063537598,36236.666666666664,0.04006765622162386,0.0,51,52,91,91,100,110,110,110,110,110,110,110
POST,/questionnaire/,12,0,41,78.37118705113728,37.48273849487305,275.46024322509766,299.0,0.04006765622162386,0.0,41,41,49,49,250,280,280,280,280,280,280,280
GET,/questionnaire/accommodation-introduction/,3,0,50,225.5071004231771,46.12159729003906,580.1904201507568,27138.333333333332,0.010016914055405965,0.0,50,50,580,580,580,580,580,580,580,580,580,580
POST,/questionnaire/accommodation-introduction/,3,0,62,61.83067957560221,60.309648513793945,63.48252296447754,275.0,0.010016914055405965,0.0,62,62,63,63,63,63,63,63,63,63,63,63
GET,/questionnaire/accommodation-type/,3,0,49,48.81827036539713,44.0213680267334,53.22742462158203,28215.0,0.010016914055405965,0.0,49,49,53,53,53,53,53,53,53,53,53,53
POST,/questionnaire/accommodation-type/,3,0,68,70.27268409729004,65.46616554260254,77.11482048034668,265.0,0.010016914055405965,0.0,68,68,77,77,77,77,77,77,77,77,77,77
GET,/questionnaire/any-more-people-living-here/,3,0,52,63.830296198527016,47.00422286987305,92.7891731262207,34092.0,0.010016914055405965,0.0,52,52,93,93,93,93,93,93,93,93,93,93
POST,/questionnaire/any-more-people-living-here/,3,0,59,82.92229970296223,57.80768394470215,132.1406364440918,263.0,0.010016914055405965,0.0,59,59,130,130,130,130,130,130,130,130,130,130
GET,/questionnaire/any-more-visitors/,3,0,57,232.44142532348633,44.548988342285156,595.3953266143799,29218.333333333332,0.010016914055405965,0.0,57,57,600,600,600,600,600,600,600,600,600,600
POST,/questionnaire/any-more-visitors/,3,0,67,68.65318616231282,62.60371208190918,76.28870010375977,343.0,0.010016914055405965,0.0,67,67,76,76,76,76,76,76,76,76,76,76
GET,/questionnaire/any-visitors/,3,0,55,64.07284736633301,51.392316818237305,86.1213207244873,31560.0,0.010016914055405965,0.0,55,55,86,86,86,86,86,86,86,86,86,86
POST,/questionnaire/any-visitors/,3,0,64,64.46480751037598,62.77298927307129,66.47515296936035,359.0,0.010016914055405965,0.0,64,64,66,66,66,66,66,66,66,66,66,66
GET,/questionnaire/central-heating/,3,0,49,49.69906806945801,47.609567642211914,52.12736129760742,32763.0,0.010016914055405965,0.0,49,49,52,52,52,52,52,52,52,52,52,52
POST,/questionnaire/central-heating/,3,0,69,67.72828102111816,61.09166145324707,73.38118553161621,261.0,0.010016914055405965,0.0,69,69,73,73,73,73,73,73,73,73,73,73
GET,/questionnaire/do-you-usually-live-here/,3,0,54,56.2896728515625,47.068119049072266,68.15075874328613,29304.0,0.010016914055405965,0.0,54,54,68,68,68,68,68,68,68,68,68,68
POST,/questionnaire/do-you-usually-live-here/,3,0,77,74.89728927612305,60.65940856933594,86.92598342895508,307.0,0.010016914055405965,0.0,77,77,87,87,87,87,87,87,87,87,87,87
GET,/questionnaire/household/people-living-here-add-person/,3,0,59,73.22486241658528,49.96323585510254,111.16981506347656,27048.0,0.010016914055405965,0.0,59,59,110,110,110,110,110,110,110,110,110,110
POST,/questionnaire/household/people-living-here-add-person/,3,0,70,73.36099942525227,55.55868148803711,94.95186805725098,275.0,0.010016914055405965,0.0,70,70,95,95,95,95,95,95,95,95,95,95
GET,/questionnaire/household/{id}/a-level/,4,0,47,50.45503377914429,45.95804214477539,55.49931526184082,31618.0,0.013355885407207953,0.0,54,54,55,55,55,55,55,55,55,55,55,55
POST,/questionnaire/household/{id}/a-level/,4,0,59,76.54416561126709,57.79218673706055,121.3524341583252,281.0,0.013355885407207953,0.0,68,68,120,120,120,120,120,120,120,120,120,120
GET,/questionnaire/household/{id}/another-address/,5,0,53,57.04984664916992,46.12898826599121,71.99692726135254,29888.8,0.016694856759009943,0.0,53,65,65,72,72,72,72,72,72,72,72,72
POST,/questionnaire/household/{id}/another-address/,5,0,70,67.4560546875,59.468746185302734,70.84202766418457,297.0,0.016694856759009943,0.0,70,71,71,71,71,71,71,71,71,71,71,71
GET,/questionnaire/household/{id}/apprenticeship/,4,0,50,51.019132137298584,46.71645164489746,54.76212501525879,27494.0,0.013355885407207953,0.0,53,53,55,55,55,55,55,55,55,55,55,55
POST,/questionnaire/household/{id}/apprenticeship/,4,0,62,67.28518009185791,59.90862846374512,77.89373397827148,315.0,0.013355885407207953,0.0,69,69,78,78,78,78,78,78,78,78,78,78
GET,/questionnaire/household/{id}/armed-forces/,4,0,53,56.050777435302734,46.09966278076172,71.83337211608887,30381.0,0.013355885407207953,0.0,53,53,72,72,72,72,72,72,72,72,72,72
POST,/questionnaire/household/{id}/armed-forces/,4,0,71,84.72156524658203,60.4243278503418,134.47093963623047,339.0,0.013355885407207953,0.0,73,73,130,130,130,130,130,130,130,130,130,130
GET,/questionnaire/household/{id}/business-name/,4,0,54,52.66791582107544,47.55878448486328,55.49025535583496,27765.0,0.013355885407207953,0.0,54,54,55,55,55,55,55,55,55,55,55,55
POST,/questionnaire/household/{id}/business-name/,4,0,74,76.1958360671997,64.34941291809082,85.53600311279297,291.0,0.013355885407207953,0.0,81,81,86,86,86,86,86,86,86,86,86,86
GET,/questionnaire/household/{id}/business-type/,4,0,45,47.03569412231445,44.54994201660156,49.201250076293945,26681.5,0.013355885407207953,0.0,49,49,49,49,49,49,49,49,49,49,49,49
POST,/questionnaire/household/{id}/business-type/,4,0,63,61.66338920593262,55.829524993896484,64.6827220916748,305.0,0.013355885407207953,0.0,64,64,65,65,65,65,65,65,65,65,65,65
GET,/questionnaire/household/{id}/confirm-age/,5,0,50,49.87163543701172,46.399593353271484,53.064823150634766,27022.4,0.016694856759009943,0.0,50,52,52,53,53,53,53,53,53,53,53,53
POST,/questionnaire/household/{id}/confirm-age/,5,0,70,71.48141860961914,61.25068664550781,87.46695518493652,279.0,0.016694856759009943,0.0,70,71,71,87,87,87,87,87,87,87,87,87
GET,/questionnaire/household/{id}/confirm-who-is-answering/,5,0,52,56.121015548706055,49.44443702697754,69.00310516357422,27110.4,0.016694856759009943,0.0,52,61,61,69,69,69,69,69,69,69,69,69
POST,/questionnaire/household/{id}/confirm-who-is-answering/,5,0,62,63.130903244018555,56.87832832336426,75.38843154907227,299.0,0.016694856759009943,0.0,62,64,64,75,75,75,75,75,75,75,75,75
GET,/questionnaire/household/{id}/country-of-birth/,5,0,49,49.5851993560791,46.09799385070801,53.95913124084473,29966.2,0.016694856759009943,0.0,49,53,53,54,54,54,54,54,54,54,54,54
POST,/questionnaire/household/{id}/country-of-birth/,5,0,66,65.2120590209961,55.78041076660156,73.5938549041748,315.0,0.016694856759009943,0.0,66,73,73,74,74,74,74,74,74,74,74,74
GET,/questionnaire/household/{id}/date-of-birth/,5,0,57,72.58405685424805,50.48871040344238,108.51287841796875,27453.8,0.016694856759009943,0.0,57,93,93,110,110,110,110,110,110,110,110,110
POST,/questionnaire/household/{id}/date-of-birth/,5,0,65,66.97940826416016,58.1669807434082,77.79574394226074,295.0,0.016694856759009943,0.0,65,70,70,78,78,78,78,78,78,78,78,78
GET,/questionnaire/household/{id}/degree-level-or-above/,4,0,49,50.67187547683716,47.25527763366699,54.36277389526367,30208.0,0.013355885407207953,0.0,52,52,54,54,54,54,54,54,54,54,54,54
POST,/questionnaire/household/{id}/degree-level-or-above/,4,0,62,64.42397832870483,58.2280158996582,72.80302047729492,291.0,0.013355885407207953,0.0,65,65,73,73,73,73,73,73,73,73,73,73
GET,/questionnaire/household/{id}/employment-status-last-seven-days/,4,0,50,51.22101306915283,47.66726493835449,55.46975135803223,31055.5,0.013355885407207953,0.0,52,52,55,55,55,55,55,55,55,55,55,55
