Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,99.999%,100%
GET,/questionnaire,640,0,29,47.47544415295124,19.260883331298828,1395.6775665283203,305.0,0.5334343596101941,0.0,29,33,38,42,67,100,150,200,1400,1400,1400,1400
GET,/questionnaire/,3059,0,33,35.1102750415933,23.480653762817383,132.5671672821045,24570.262504086302,2.54964954069935,0.0,33,35,38,39,45,52,66,79,100,130,130,130
POST,/questionnaire/,3058,0,30,50.90364659822712,19.90365982055664,574.7683048248291,298.4480052321779,2.5488160495124585,0.0,30,34,42,69,130,140,170,180,430,570,570,570
GET,/questionnaire/accommodation-introduction/,640,0,31,32.21789039671421,23.326635360717773,82.53931999206543,15369.0,0.5334343596101941,0.0,31,33,34,36,39,47,56,61,83,83,83,83
POST,/questionnaire/accommodation-introduction/,640,0,45,47.8255245834589,34.360647201538086,399.63436126708984,275.0,0.5334343596101941,0.0,45,48,49,51,57,68,80,94,400,400,400,400
GET,/questionnaire/accommodation-type/,640,0,33,34.13537032902241,24.68395233154297,98.89483451843262,16446.0,0.5334343596101941,0.0,33,35,37,38,42,47,58,71,99,99,99,99
POST,/questionnaire/accommodation-type/,640,0,47,52.05274485051632,34.827470779418945,594.7568416595459,265.0,0.5334343596101941,0.0,47,50,53,55,62,75,93,110,590,590,590,590
GET,/questionnaire/any-more-people-living-here/,640,0,36,38.48953768610954,26.197195053100586,126.33037567138672,22323.0,0.5334343596101941,0.0,36,39,41,43,48,57,73,86,130,130,130,130
POST,/questionnaire/any-more-people-living-here/,640,0,48,50.48059746623039,36.931514739990234,210.47401428222656,263.0,0.5334343596101941,0.0,48,51,53,55,63,73,91,98,210,210,210,210
GET,/questionnaire/any-more-visitors/,640,0,34,36.04820296168327,24.595022201538086,108.1540584564209,17449.0,0.5334343596101941,0.0,34,36,38,39,45,56,67,85,110,110,110,110
POST,/questionnaire/any-more-visitors/,640,0,47,50.14781020581722,35.77423095703125,260.927677154541,343.0,0.5334343596101941,0.0,47,50,53,54,62,73,89,100,260,260,260,260
GET,/questionnaire/any-visitors/,640,0,35,38.838378712534904,25.164127349853516,273.59485626220703,19791.0,0.5334343596101941,0.0,35,37,40,42,49,69,89,96,270,270,270,270
POST,/questionnaire/any-visitors/,640,0,47,49.58404153585434,34.9886417388916,340.6670093536377,359.0,0.5334343596101941,0.0,47,50,52,54,60,66,81,96,340,340,340,340
GET,/questionnaire/central-heating/,640,0,34,37.52700798213482,25.471210479736328,532.7248573303223,20994.0,0.5334343596101941,0.0,34,36,39,40,46,54,70,85,530,530,530,530
POST,/questionnaire/central-heating/,640,0,46,53.169820457696915,35.45498847961426,619.1086769104004,261.0,0.5334343596101941,0.0,46,50,53,55,63,77,93,170,620,620,620,620
GET,/questionnaire/do-you-usually-live-here/,640,0,35,46.71123996376991,24.161815643310547,360.2867126464844,17535.0,0.5334343596101941,0.0,35,39,42,44,59,110,230,280,360,360,360,360
