Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,//questionnaire,200,0,200.0,320.5783540010452,53.849799995077774,1166.2295999994967,289.0,0.6676237310526262,0.0,200,340,460,570,730,900,970,1100,1200,1200,1200
GET,/questionnaire/,800,0,120.0,149.4899803750377,54.61340001784265,668.5868999920785,27126.875,2.6704949242105047,0.0,120,140,160,180,270,360,410,460,670,670,670
POST,/questionnaire/,800,0,100.0,156.56419949998963,47.992899984819815,1003.2204000162892,302.25,2.6704949242105047,0.0,100,130,170,200,350,440,550,630,1000,1000,1000
GET,/questionnaire/accommodation-introduction/,200,0,95,112.36842050013365,56.28150000120513,390.4642999987118,16729.0,0.6676237310526262,0.0,95,110,120,130,170,240,320,390,390,390,390
POST,/questionnaire/accommodation-introduction/,200,0,110.0,131.65167900006054,65.08990001748316,870.8360999880824,275.0,0.6676237310526262,0.0,110,130,150,160,190,230,390,520,870,870,870
GET,/questionnaire/accommodation-type/,200,0,99,121.45404850060004,51.81919998722151,452.32040001428686,19607.0,0.6676237310526262,0.0,99,120,130,150,180,230,410,420,450,450,450
POST,/questionnaire/accommodation-type/,200,0,110.0,126.99851700061117,64.15590000688098,378.5226999898441,265.0,0.6676237310526262,0.0,110,130,140,150,200,250,290,310,380,380,380
GET,/questionnaire/any-more-people-living-here/,200,0,120.0,152.90019150023,71.8242000148166,529.3679000169504,25769.0,0.6676237310526262,0.0,120,160,180,190,230,340,420,490,530,530,530
POST,/questionnaire/any-more-people-living-here/,200,0,140.0,160.04215549866785,75.35609998740256,524.397000001045,263.0,0.6676237310526262,0.0,140,160,180,200,270,310,380,510,520,520,520
GET,/questionnaire/any-more-visitors/,200,0,110.0,129.86047299957136,54.812499991385266,456.43039999413304,20877.0,0.6676237310526262,0.0,110,130,150,160,200,270,370,390,460,460,460
POST,/questionnaire/any-more-visitors/,200,0,120.0,144.31036350055365,58.42059999122284,454.1417000000365,343.0,0.6676237310526262,0.0,120,140,160,180,230,360,390,420,450,450,450
GET,/questionnaire/any-visitors/,200,0,120.0,149.60085500002606,66.56260002637282,628.9616000140086,22919.0,0.6676237310526262,0.0,120,150,160,170,210,370,460,500,630,630,630
POST,/questionnaire/any-visitors/,200,0,130.0,147.64219750009943,67.84230002085678,563.7323999835644,359.0,0.6676237310526262,0.0,130,150,170,180,240,280,380,450,560,560,560
GET,/questionnaire/central-heating/,200,0,110.0,136.8988199996238,55.75410000164993,488.64930000854656,24156.0,0.6676237310526262,0.0,110,130,160,170,210,330,410,460,490,490,490
POST,/questionnaire/central-heating/,200,0,130.0,145.374876500573,75.87329999660142,510.28930000029504,261.0,0.6676237310526262,0.0,130,150,160,170,220,260,380,460,510,510,510
GET,/questionnaire/coronavirus-circumstances/,200,0,170.0,254.8055085010128,65.81589998677373,1004.0121999918483,15720.0,0.6676237310526262,0.0,170,250,320,380,570,740,950,980,1000,1000,1000
POST,/questionnaire/coronavirus-circumstances/,200,0,140.0,183.4364975016797,75.04910000716336,887.2444999869913,305.0,0.6676237310526262,0.0,140,190,220,250,350,390,530,580,890,890,890
