"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/questionnaire/",6330,0,780,808,139,5204,9644,3.51,0.00,780,820,850,870,930,1000,1400,2100,3700,5200,5200,5200
"GET","/questionnaire/a-level/",6321,0,370,380,47,2286,233,3.51,0.00,370,400,420,440,480,520,580,710,1600,2300,2300,2300
"POST","/questionnaire/a-level/",6320,0,360,376,55,2326,233,3.51,0.00,360,400,420,430,480,520,590,670,1500,2300,2300,2300
"POST","/questionnaire/accommodation-type/",6329,0,380,417,76,3034,245,3.51,0.00,380,410,450,470,550,610,870,1400,2600,3000,3000,3000
"GET","/questionnaire/another-address/",6326,0,370,382,57,2832,233,3.51,0.00,370,400,420,440,480,530,590,690,1400,2800,2800,2800
"POST","/questionnaire/another-address/",6326,0,370,378,54,2022,233,3.51,0.00,370,400,420,430,480,520,610,770,1200,2000,2000,2000
"GET","/questionnaire/apprenticeship/",6323,0,370,378,50,2440,233,3.51,0.00,370,400,420,430,480,520,590,750,1400,2400,2400,2400
"POST","/questionnaire/apprenticeship/",6323,0,370,376,55,2136,233,3.51,0.00,370,400,420,430,480,520,600,730,1400,2100,2100,2100
"GET","/questionnaire/armed-forces/",6315,0,370,377,65,2135,233,3.51,0.00,370,400,420,430,470,520,570,670,1500,2100,2100,2100
"POST","/questionnaire/armed-forces/",6314,0,370,376,67,2041,233,3.50,0.00,370,400,420,430,470,520,590,730,1500,2000,2000,2000
"GET","/questionnaire/birth-gender/",6325,0,370,379,66,2475,233,3.51,0.00,370,400,420,430,480,530,600,750,1500,2500,2500,2500
"POST","/questionnaire/birth-gender/",6324,0,360,374,58,2642,233,3.51,0.00,360,400,420,430,480,520,590,690,1400,2600,2600,2600
"GET","/questionnaire/business-name/",6290,0,370,378,51,2480,233,3.49,0.00,370,400,420,440,480,530,590,680,1400,2500,2500,2500
"POST","/questionnaire/business-name/",6282,0,370,377,52,1901,233,3.49,0.00,370,400,420,430,480,520,590,650,1300,1900,1900,1900
"GET","/questionnaire/carer/",6325,0,370,378,57,2341,233,3.51,0.00,370,400,420,430,480,520,590,730,1600,2300,2300,2300
"POST","/questionnaire/carer/",6325,0,370,377,56,2603,233,3.51,0.00,370,400,420,430,480,530,600,700,1300,2600,2600,2600
"GET","/questionnaire/confirm-dob/",6326,0,380,385,71,2209,233,3.51,0.00,380,410,430,440,480,530,600,700,1700,2200,2200,2200
"POST","/questionnaire/confirm-dob/",6326,0,370,382,48,2116,233,3.51,0.00,370,400,430,440,480,530,600,730,1500,2100,2100,2100
"GET","/questionnaire/country-of-birth/",6326,0,370,381,58,2325,233,3.51,0.00,370,400,420,440,480,520,600,710,1400,2300,2300,2300
"POST","/questionnaire/country-of-birth/",6326,0,370,379,56,2163,233,3.51,0.00,370,400,420,430,480,530,620,760,1600,2200,2200,2200
"GET","/questionnaire/current-marriage-status/",6326,0,370,381,61,2349,233,3.51,0.00,370,400,420,440,480,520,580,670,1400,2300,2300,2300
"POST","/questionnaire/current-marriage-status/",6326,0,370,378,57,1723,233,3.51,0.00,370,400,420,440,480,530,600,740,1400,1700,1700,1700
"GET","/questionnaire/date-of-birth/",6326,0,380,387,48,2151,233,3.51,0.00,380,410,430,450,490,540,610,790,1500,2200,2200,2200
"POST","/questionnaire/date-of-birth/",6326,0,370,383,50,1955,233,3.51,0.00,370,400,430,440,490,530,610,710,1400,2000,2000,2000
"GET","/questionnaire/degree/",6323,0,370,379,50,2736,233,3.51,0.00,370,400,420,440,480,530,600,710,1800,2700,2700,2700
"POST","/questionnaire/degree/",6323,0,360,374,59,2450,233,3.51,0.00,360,390,420,430,480,520,590,680,1400,2500,2500,2500
"GET","/questionnaire/disability/",6326,0,370,381,52,2341,233,3.51,0.00,370,400,420,440,480,530,620,760,1500,2300,2300,2300
"POST","/questionnaire/disability/",6325,0,360,375,53,2296,233,3.51,0.00,360,390,420,430,470,520,590,750,1600,2300,2300,2300
"GET","/questionnaire/employer-address-workplace/",6214,0,380,386,53,2073,233,3.45,0.00,380,410,430,440,490,520,580,630,1000,2100,2100,2100
"POST","/questionnaire/employer-address-workplace/",6213,0,380,384,54,2274,233,3.45,0.00,380,410,430,440,480,530,590,650,1400,2300,2300,2300
"GET","/questionnaire/employer-type-of-address/",6227,0,380,383,53,1689,233,3.46,0.00,380,410,430,440,480,520,580,620,1000,1700,1700,1700
"POST","/questionnaire/employer-type-of-address/",6222,0,370,381,56,1729,233,3.45,0.00,370,400,430,440,480,520,570,630,1300,1700,1700,1700
"GET","/questionnaire/employers-business/",6267,0,370,378,46,1967,233,3.48,0.00,370,400,420,440,480,520,570,630,1300,2000,2000,2000
"POST","/questionnaire/employers-business/",6262,0,370,379,46,1973,233,3.48,0.00,370,400,420,440,480,520,580,630,1400,2000,2000,2000
"GET","/questionnaire/employment-status/",6312,0,370,378,58,1956,233,3.50,0.00,370,400,420,430,480,520,580,680,1400,2000,2000,2000
"POST","/questionnaire/employment-status/",6308,0,370,376,53,2041,233,3.50,0.00,370,400,420,430,480,520,580,680,1500,2000,2000,2000
"GET","/questionnaire/establishment-position/",6326,0,380,390,46,2594,233,3.51,0.00,380,410,430,440,490,540,620,880,2200,2600,2600,2600
