Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,//questionnaire,200,0,270.0,797.3375355014286,56.27739999908954,3958.4453999996185,289.0,0.6684003913756809,0.0,270,440,730,1400,2900,3600,3800,3900,4000,4000,4000
GET,/questionnaire/,800,0,160.0,189.12918462574453,60.02819997956976,841.2183999898843,27126.875,2.6736015655027234,0.0,160,200,220,250,340,430,490,570,840,840,840
POST,/questionnaire/,800,0,140.0,187.86640962534875,55.97330001182854,970.5435000068974,302.25,2.6736015655027234,0.0,140,180,220,250,350,500,610,710,970,970,970
GET,/questionnaire/accommodation-introduction/,200,0,120.0,148.25252300011925,58.053200016729534,756.5291000064462,16729.0,0.6684003913756809,0.0,120,160,180,180,220,340,400,590,760,760,760
POST,/questionnaire/accommodation-introduction/,200,0,140.0,160.89689200307475,68.76870000269264,479.87410001223907,275.0,0.6684003913756809,0.0,140,170,190,200,250,320,430,450,480,480,480
GET,/questionnaire/accommodation-type/,200,0,140.0,159.83365000065533,57.617300015408546,653.7486000161152,19607.0,0.6684003913756809,0.0,140,150,180,190,250,370,440,480,650,650,650
POST,/questionnaire/accommodation-type/,200,0,150.0,180.31866499979515,72.94359998195432,531.8097000126727,265.0,0.6684003913756809,0.0,150,180,210,230,270,420,510,520,530,530,530
GET,/questionnaire/any-more-people-living-here/,200,0,200.0,237.9136870004004,80.81839999067597,745.8125000121072,25769.0,0.6684003913756809,0.0,200,260,280,320,410,540,640,670,750,750,750
POST,/questionnaire/any-more-people-living-here/,200,0,200.0,221.8252000011853,72.27519998559728,789.0085999970324,263.0,0.6684003913756809,0.0,200,230,270,300,360,430,630,660,790,790,790
GET,/questionnaire/any-more-visitors/,200,0,170.0,197.97584550076863,72.17910001054406,878.1918000022415,20877.0,0.6684003913756809,0.0,170,200,230,250,350,400,520,760,880,880,880
POST,/questionnaire/any-more-visitors/,200,0,170.0,197.0774785001413,81.08519998495467,571.6154999972787,343.0,0.6684003913756809,0.0,170,210,230,240,320,420,460,470,570,570,570
GET,/questionnaire/any-visitors/,200,0,180.0,219.48917050089221,70.84640001994558,650.5952999868896,22919.0,0.6684003913756809,0.0,180,220,250,300,440,520,600,650,650,650,650
POST,/questionnaire/any-visitors/,200,0,200.0,225.4001754987985,75.73780001257546,893.411199998809,359.0,0.6684003913756809,0.0,200,240,260,310,390,460,550,710,890,890,890
GET,/questionnaire/central-heating/,200,0,140.0,171.40281049956684,65.15229999786243,625.3731999895535,24156.0,0.6684003913756809,0.0,140,170,190,210,320,420,460,540,630,630,630
POST,/questionnaire/central-heating/,200,0,150.0,168.3325410008547,78.41099999495782,431.4777000108734,261.0,0.6684003913756809,0.0,150,180,200,220,290,330,400,430,430,430,430
GET,/questionnaire/coronavirus-circumstances/,200,0,270.0,1237.911472498381,78.82630001404323,4666.825499996776,15720.0,0.6684003913756809,0.0,280,630,2900,3600,4000,4400,4400,4500,4700,4700,4700
POST,/questionnaire/coronavirus-circumstances/,200,0,200.0,229.66606350062648,79.68580001033843,659.5221000025049,305.0,0.6684003913756809,0.0,200,250,290,310,400,510,560,650,660,660,660
GET,/questionnaire/do-you-usually-live-here/,200,0,240.0,341.7596740007866,69.58889999077655,1375.844700000016,20645.0,0.6684003913756809,0.0,240,370,460,570,770,850,970,1200,1400,1400,1400
POST,/questionnaire/do-you-usually-live-here/,200,0,240.0,354.9526709994825,78.1245999969542,1646.1345999850892,307.0,0.6684003913756809,0.0,240,310,380,470,790,1300,1400,1400,1600,1600,1600
GET,/questionnaire/household/people-living-here-add-person/,200,0,170.0,250.80203049903503,74.22979999682866,933.0718999844976,18372.0,0.6684003913756809,0.0,170,230,280,330,600,670,800,850,930,930,930
POST,/questionnaire/household/people-living-here-add-person/,200,0,200.0,262.0698939997237,84.07270000316203,902.5613999983761,275.0,0.6684003913756809,0.0,200,260,320,370,560,660,720,800,900,900,900
GET,/questionnaire/household/{id}/a-level/,301,0,210.0,245.45389335504672,74.2067999963183,872.169300011592,22945.750830564783,1.0059425890203997,0.0,210,260,300,330,430,470,520,580,870,870,870
POST,/questionnaire/household/{id}/a-level/,300,0,250.0,290.0075329999284,100.89269999298267,797.9814000136685,281.0,1.0026005870635213,0.0,250,330,370,410,510,590,690,770,800,800,800
GET,/questionnaire/household/{id}/another-address/,399,0,190.0,223.738007267507,81.03639999171719,636.704499978805,21199.947368421053,1.3334587807944833,0.0,190,240,270,310,390,450,540,570,640,640,640
POST,/questionnaire/household/{id}/another-address/,397,0,240.0,269.6075921916926,93.80879998207092,738.8869000133127,297.0,1.3267747768807265,0.0,240,290,330,360,440,540,620,700,740,740,740
GET,/questionnaire/household/{id}/apprenticeship/,301,0,210.0,239.809495018659,77.47170000220649,664.8860999848694,18836.07973421927,1.0059425890203997,0.0,210,250,300,330,400,500,560,580,660,660,660
