Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,99.999%,100%
GET,/questionnaire,192,0,57,85.04638572533925,23.7123966217041,1228.8649082183838,305.0,0.6405645707737029,0.0,58,76,84,88,120,210,540,1200,1200,1200,1200,1200
GET,/questionnaire/,768,0,37,39.45186889419953,26.401758193969727,106.12678527832031,27738.666666666668,2.5622582830948115,0.0,37,40,43,44,51,59,71,79,110,110,110,110
POST,/questionnaire/,768,0,34,58.81151525924603,22.463083267211914,449.9948024749756,299.0,2.5622582830948115,0.0,34,39,45,57,160,200,250,290,450,450,450,450
GET,/questionnaire/accommodation-introduction/,192,0,35,36.88491632541021,25.224685668945312,97.73564338684082,18656.0,0.6405645707737029,0.0,35,38,40,41,46,50,58,65,98,98,98,98
POST,/questionnaire/accommodation-introduction/,192,0,50,51.518154640992485,35.79354286193848,116.6999340057373,275.0,0.6405645707737029,0.0,50,54,56,59,64,72,80,89,120,120,120,120
GET,/questionnaire/accommodation-type/,192,0,37,38.95646582047144,26.21912956237793,76.40242576599121,19733.0,0.6405645707737029,0.0,37,40,43,44,48,55,72,74,76,76,76,76
POST,/questionnaire/accommodation-type/,192,0,51,53.40344334642092,38.64717483520508,117.04230308532715,265.0,0.6405645707737029,0.0,51,55,58,60,68,73,84,89,120,120,120,120
GET,/questionnaire/any-more-people-living-here/,192,0,45,47.00528457760811,29.58989143371582,120.00823020935059,25610.0,0.6405645707737029,0.0,45,49,52,54,60,73,94,110,120,120,120,120
POST,/questionnaire/any-more-people-living-here/,192,0,54,58.11120942234993,38.01369667053223,187.6218318939209,263.0,0.6405645707737029,0.0,54,58,62,63,73,87,130,140,190,190,190,190
GET,/questionnaire/any-more-visitors/,192,0,39,40.48567389448484,26.599884033203125,77.81076431274414,20736.0,0.6405645707737029,0.0,39,42,44,46,50,57,65,74,78,78,78,78
POST,/questionnaire/any-more-visitors/,192,0,51,53.019014497598015,39.33143615722656,112.28370666503906,343.0,0.6405645707737029,0.0,52,55,57,58,64,70,80,85,110,110,110,110
GET,/questionnaire/any-visitors/,192,0,44,48.74288042386373,28.41949462890625,129.43148612976074,23078.0,0.6405645707737029,0.0,44,47,50,53,70,88,110,130,130,130,130,130
POST,/questionnaire/any-visitors/,192,0,51,53.811258325974144,36.786794662475586,116.67633056640625,359.0,0.6405645707737029,0.0,52,56,58,59,67,79,92,100,120,120,120,120
GET,/questionnaire/central-heating/,192,0,39,41.25257954001427,27.55570411682129,104.2025089263916,24281.0,0.6405645707737029,0.0,39,41,44,45,51,61,87,100,100,100,100,100
POST,/questionnaire/central-heating/,192,0,52,52.286017686128616,37.54615783691406,88.61780166625977,261.0,0.6405645707737029,0.0,52,55,57,58,64,68,78,83,89,89,89,89
GET,/questionnaire/do-you-usually-live-here/,192,0,43,75.64061383406322,27.91452407836914,488.74473571777344,20822.0,0.6405645707737029,0.0,43,51,59,64,180,300,430,440,490,490,490,490
POST,/questionnaire/do-you-usually-live-here/,192,0,55,59.040057162443794,37.744998931884766,161.27562522888184,307.0,0.6405645707737029,0.0,55,60,64,68,77,87,96,120,160,160,160,160
GET,/questionnaire/household/people-living-here-add-person/,192,0,44,51.38340344031652,26.752948760986328,158.15258026123047,18566.0,0.6405645707737029,0.0,44,50,60,64,77,88,110,160,160,160,160,160
POST,/questionnaire/household/people-living-here-add-person/,192,0,56,61.6160382827123,37.31083869934082,136.31296157836914,275.0,0.6405645707737029,0.0,56,63,68,74,86,100,120,130,140,140,140,140
GET,/questionnaire/household/{id}/a-level/,256,0,43,45.62521632760763,30.04908561706543,127.30789184570312,23136.0,0.8540860943649371,0.0,43,46,49,51,59,68,89,110,130,130,130,130
POST,/questionnaire/household/{id}/a-level/,256,0,57,61.563621275126934,40.4505729675293,165.85445404052734,281.0,0.8540860943649371,0.0,57,64,69,72,80,90,100,120,170,170,170,170
GET,/questionnaire/household/{id}/another-address/,320,0,42,44.48486045002937,27.72235870361328,134.83095169067383,21406.8,1.0676076179561713,0.0,42,45,49,50,56,65,89,94,130,130,130,130
POST,/questionnaire/household/{id}/another-address/,320,0,58,61.25330924987793,40.44055938720703,127.22587585449219,297.0,1.0676076179561713,0.0,58,63,67,70,82,90,100,110,130,130,130,130
GET,/questionnaire/household/{id}/apprenticeship/,256,0,41,44.01477053761482,29.370546340942383,96.6196060180664,19012.0,0.8540860943649371,0.0,41,44,49,50,59,70,77,79,97,97,97,97
POST,/questionnaire/household/{id}/apprenticeship/,256,0,59,62.071108259260654,40.290117263793945,122.50900268554688,315.0,0.8540860943649371,0.0,59,64,69,71,79,87,95,100,120,120,120,120
GET,/questionnaire/household/{id}/armed-forces/,256,0,42,46.17914464324713,29.291868209838867,196.87843322753906,21899.0,0.8540860943649371,0.0,43,47,49,52,63,73,79,96,200,200,200,200
POST,/questionnaire/household/{id}/armed-forces/,256,0,60,63.21106106042862,42.307138442993164,192.5826072692871,339.0,0.8540860943649371,0.0,60,64,68,71,83,98,110,130,190,190,190,190
GET,/questionnaire/household/{id}/business-name/,256,0,41,43.655180372297764,29.081106185913086,84.02442932128906,19283.0,0.8540860943649371,0.0,41,45,48,50,57,66,71,82,84,84,84,84
POST,/questionnaire/household/{id}/business-name/,256,0,57,59.60913933813572,41.5644645690918,108.3071231842041,291.0,0.8540860943649371,0.0,57,62,65,67,74,83,91,100,110,110,110,110
GET,/questionnaire/household/{id}/business-type/,256,0,41,44.02223136276007,27.933359146118164,466.89343452453613,18199.5,0.8540860943649371,0.0,41,44,46,47,55,61,69,80,470,470,470,470
POST,/questionnaire/household/{id}/business-type/,256,0,57,59.275916777551174,40.5735969543457,157.03701972961426,305.0,0.8540860943649371,0.0,57,60,64,66,74,79,90,120,160,160,160,160
GET,/questionnaire/household/{id}/confirm-age/,320,0,42,43.58152076601982,28.778553009033203,92.54693984985352,18540.4,1.0676076179561713,0.0,42,46,48,49,56,60,66,76,93,93,93,93
POST,/questionnaire/household/{id}/confirm-age/,320,0,58,61.44154965877533,41.716575622558594,127.00438499450684,279.0,1.0676076179561713,0.0,58,64,68,71,80,89,99,110,130,130,130,130
GET,/questionnaire/household/{id}/confirm-who-is-answering/,320,0,39,41.09678342938423,27.55451202392578,146.63457870483398,18628.4,1.0676076179561713,0.0,39,42,44,46,54,62,69,70,150,150,150,150
POST,/questionnaire/household/{id}/confirm-who-is-answering/,320,0,57,59.34521406888962,40.343523025512695,111.66572570800781,299.0,1.0676076179561713,0.0,57,62,65,68,77,85,98,100,110,110,110,110
GET,/questionnaire/household/{id}/country-of-birth/,320,0,42,44.904058426618576,29.399633407592773,94.56634521484375,21484.2,1.0676076179561713,0.0,42,46,49,52,61,70,78,90,95,95,95,95
POST,/questionnaire/household/{id}/country-of-birth/,320,0,59,62.07921802997589,40.177345275878906,136.75761222839355,315.0,1.0676076179561713,0.0,59,64,69,71,82,96,110,110,140,140,140,140
GET,/questionnaire/household/{id}/date-of-birth/,320,0,42,45.56835815310478,28.570890426635742,133.697509765625,18971.8,1.0676076179561713,0.0,42,46,48,51,57,79,98,110,130,130,130,130
POST,/questionnaire/household/{id}/date-of-birth/,320,0,58,60.97809597849846,40.30275344848633,163.69891166687012,295.0,1.0676076179561713,0.0,58,63,66,69,81,86,100,110,160,160,160,160
GET,/questionnaire/household/{id}/degree-level-or-above/,256,0,42,44.16597168892622,29.236555099487305,77.35967636108398,21726.0,0.8540860943649371,0.0,42,46,50,52,56,66,68,70,77,77,77,77
POST,/questionnaire/household/{id}/degree-level-or-above/,256,0,59,61.57330423593521,43.164730072021484,139.60909843444824,291.0,0.8540860943649371,0.0,59,64,67,69,82,87,92,99,140,140,140,140
GET,/questionnaire/household/{id}/employment-status-last-seven-days/,256,0,44,46.12243641167879,29.57916259765625,118.40367317199707,22573.5,0.8540860943649371,0.0,44,48,51,53,59,67,78,95,120,120,120,120
POST,/questionnaire/household/{id}/employment-status-last-seven-days/,256,0,58,60.999710112810135,41.45073890686035,143.83578300476074,315.0,0.8540860943649371,0.0,59,63,67,69,79,85,96,110,140,140,140,140
GET,/questionnaire/household/{id}/ethnic-group/,320,0,42,44.39893886446953,29.480695724487305,107.64074325561523,24438.2,1.0676076179561713,0.0,42,46,48,50,59,66,76,89,110,110,110,110
POST,/questionnaire/household/{id}/ethnic-group/,320,0,61,64.91151228547096,40.41695594787598,186.83886528015137,309.0,1.0676076179561713,0.0,61,67,71,74,87,100,120,130,190,190,190,190
GET,/questionnaire/household/{id}/gcse/,256,0,43,46.03974241763353,29.302358627319336,123.82626533508301,22976.0,0.8540860943649371,0.0,43,47,51,53,60,67,86,110,120,120,120,120
POST,/questionnaire/household/{id}/gcse/,256,0,61,62.837813049554825,41.605472564697266,201.97343826293945,297.0,0.8540860943649371,0.0,61,64,67,70,81,94,110,120,200,200,200,200
GET,/questionnaire/household/{id}/gender-identity/,267,0,41,43.96840784880106,28.317928314208984,95.96133232116699,19913.0936329588,0.8907851062321805,0.0,41,45,48,50,61,68,75,84,96,96,96,96
POST,/questionnaire/household/{id}/gender-identity/,257,0,59,62.07089850874726,41.860342025756836,123.15702438354492,327.0,0.8574223681710501,0.0,59,64,68,70,80,90,100,110,120,120,120,120
GET,/questionnaire/household/{id}/health-conditions-or-illnesses/,284,0,41,43.33454706299473,28.383493423461914,89.78414535522461,20891.830985915494,0.947501760936102,0.0,41,45,47,50,59,65,74,80,90,90,90,90
POST,/questionnaire/household/{id}/health-conditions-or-illnesses/,284,0,59,61.65856626671805,42.10686683654785,138.79966735839844,329.0,0.947501760936102,0.0,59,64,69,73,80,90,97,110,140,140,140,140
GET,/questionnaire/household/{id}/health/,293,0,42,44.5428154981177,29.2360782623291,135.35404205322266,20181.348122866893,0.9775282251911194,0.0,42,45,48,51,60,69,95,100,140,140,140,140
POST,/questionnaire/household/{id}/health/,284,0,58,60.54658705080059,40.25840759277344,120.03302574157715,333.0,0.947501760936102,0.0,58,63,66,69,80,86,91,100,120,120,120,120
GET,/questionnaire/household/{id}/hours-worked/,256,0,43,44.638470746576786,28.9151668548584,141.18480682373047,20061.0,0.8540860943649371,0.0,43,45,48,50,58,66,75,84,140,140,140,140
POST,/questionnaire/household/{id}/hours-worked/,256,0,59,64.25159983336926,40.67850112915039,390.31195640563965,301.0,0.8540860943649371,0.0,60,64,69,70,80,98,110,140,390,390,390,390
GET,/questionnaire/household/{id}/in-education/,320,0,41,43.120475858449936,27.506351470947266,99.5798110961914,18478.4,1.0676076179561713,0.0,41,45,47,48,56,65,71,79,100,100,100,100
POST,/questionnaire/household/{id}/in-education/,320,0,58,63.00131678581238,39.452314376831055,305.8147430419922,305.0,1.0676076179561713,0.0,58,63,68,72,85,98,100,120,310,310,310,310
