"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/questionnaire",20,0,67,72,23,154,293,0.07,0.00,73,80,110,110,140,150,150,150,150,150,150,150
"GET","/questionnaire/",84,0,93,99,26,287,25973,0.29,0.00,94,110,120,140,160,160,190,290,290,290,290,290
"POST","/questionnaire/",83,0,81,104,29,326,302,0.29,0.00,81,100,130,140,210,250,330,330,330,330,330,330
"GET","/questionnaire/accommodation-introduction/",20,0,73,92,38,219,13048,0.07,0.00,73,100,120,150,180,220,220,220,220,220,220,220
"POST","/questionnaire/accommodation-introduction/",20,0,100,130,52,329,275,0.07,0.00,110,130,160,190,240,330,330,330,330,330,330,330
"GET","/questionnaire/accommodation-type/",20,0,80,89,37,159,16734,0.07,0.00,84,100,120,120,160,160,160,160,160,160,160,160
"POST","/questionnaire/accommodation-type/",20,0,110,121,48,262,265,0.07,0.00,120,140,160,160,200,260,260,260,260,260,260,260
"GET","/questionnaire/any-visitors/",20,0,110,134,62,250,20277,0.07,0.00,120,170,180,180,250,250,250,250,250,250,250,250
"POST","/questionnaire/any-visitors/",20,0,150,160,63,316,323,0.07,0.00,150,160,220,250,280,320,320,320,320,320,320,320
"POST","/questionnaire/anyone-else-driving-question/",20,0,120,164,50,429,355,0.07,0.00,120,170,220,280,350,430,430,430,430,430,430,430
"GET","/questionnaire/anyone-else-list-collector/",20,0,96,113,30,279,20204,0.07,0.00,110,130,150,160,250,280,280,280,280,280,280,280
"POST","/questionnaire/anyone-else-list-collector/",20,0,130,171,77,483,311,0.07,0.00,140,190,190,220,350,480,480,480,480,480,480,480
"GET","/questionnaire/anyone-else-temp-away-list-collector/",20,0,89,124,56,275,23435,0.07,0.00,93,130,170,200,240,280,280,280,280,280,280,280
"POST","/questionnaire/anyone-else-temp-away-list-collector/",20,0,180,190,62,328,263,0.07,0.00,190,240,270,280,300,330,330,330,330,330,330,330
"GET","/questionnaire/central-heating/",20,0,92,105,58,211,21908,0.07,0.00,98,110,120,130,200,210,210,210,210,210,210,210
"POST","/questionnaire/central-heating/",20,0,120,132,80,310,261,0.07,0.00,120,130,160,170,210,310,310,310,310,310,310,310
"GET","/questionnaire/household/add-person/",20,0,86,106,31,224,16606,0.07,0.00,89,120,140,190,220,220,220,220,220,220,220,220
"POST","/questionnaire/household/add-person/",20,0,130,150,43,278,291,0.07,0.00,130,180,190,220,270,280,280,280,280,280,280,280
"GET","/questionnaire/household/{id}/a-level/",40,0,110,122,44,240,19457,0.14,0.00,110,120,180,190,220,230,240,240,240,240,240,240
"POST","/questionnaire/household/{id}/a-level/",40,0,160,173,87,352,281,0.14,0.00,170,190,210,210,230,280,350,350,350,350,350,350
"GET","/questionnaire/household/{id}/add-or-edit-primary-person/",20,0,90,116,45,251,16473,0.07,0.00,90,110,140,210,240,250,250,250,250,250,250,250
"POST","/questionnaire/household/{id}/add-or-edit-primary-person/",20,0,160,168,46,280,295,0.07,0.00,160,190,250,260,270,280,280,280,280,280,280,280
"GET","/questionnaire/household/{id}/another-address/",40,0,110,122,32,296,18227,0.14,0.00,110,140,160,180,200,240,300,300,300,300,300,300
"POST","/questionnaire/household/{id}/another-address/",40,0,140,179,70,377,297,0.14,0.00,150,190,230,260,360,370,380,380,380,380,380,380
"GET","/questionnaire/household/{id}/apprenticeship/",40,0,110,142,56,535,15764,0.14,0.00,110,130,170,180,230,440,540,540,540,540,540,540
"POST","/questionnaire/household/{id}/apprenticeship/",40,0,160,174,81,403,285,0.14,0.00,170,180,220,240,260,280,400,400,400,400,400,400
"GET","/questionnaire/household/{id}/armed-forces/",40,0,110,123,53,280,18665,0.14,0.00,110,130,150,150,210,230,280,280,280,280,280,280
"POST","/questionnaire/household/{id}/armed-forces/",40,0,170,189,63,438,307,0.14,0.00,180,190,230,250,290,370,440,440,440,440,440,440
"GET","/questionnaire/household/{id}/birth-gender/",40,0,120,134,55,432,17622,0.14,0.00,120,140,150,180,230,350,430,430,430,430,430,430
"POST","/questionnaire/household/{id}/birth-gender/",40,0,160,185,55,684,301,0.14,0.00,160,190,210,260,350,380,680,680,680,680,680,680
"GET","/questionnaire/household/{id}/business-name/",40,0,120,126,31,371,16491,0.14,0.00,120,140,160,180,210,240,370,370,370,370,370,370
"POST","/questionnaire/household/{id}/business-name/",40,0,150,174,58,418,291,0.14,0.00,160,180,220,230,310,350,420,420,420,420,420,420
"GET","/questionnaire/household/{id}/carer/",40,0,110,123,42,348,19739,0.14,0.00,110,120,150,160,200,320,350,350,350,350,350,350
"POST","/questionnaire/household/{id}/carer/",40,0,150,169,46,472,303,0.14,0.00,150,180,210,240,290,400,470,470,470,470,470,470
"GET","/questionnaire/household/{id}/confirm-dob/",40,0,130,143,51,369,15572,0.14,0.00,130,150,170,190,260,340,370,370,370,370,370,370
"POST","/questionnaire/household/{id}/confirm-dob/",40,0,160,172,46,454,279,0.14,0.00,160,190,240,250,310,380,450,450,450,450,450,450
"GET","/questionnaire/household/{id}/country-of-birth/",40,0,99,122,31,331,19128,0.14,0.00,100,140,180,180,210,270,330,330,330,330,330,330
"POST","/questionnaire/household/{id}/country-of-birth/",40,0,170,185,51,445,329,0.14,0.00,180,210,230,240,290,320,450,450,450,450,450,450
"GET","/questionnaire/household/{id}/current-marriage-status/",40,0,110,116,34,288,15558,0.14,0.00,110,130,140,140,190,250,290,290,290,290,290,290
"POST","/questionnaire/household/{id}/current-marriage-status/",40,0,160,178,70,385,303,0.14,0.00,170,200,230,240,340,370,390,390,390,390,390,390
"GET","/questionnaire/household/{id}/date-of-birth/",40,0,110,135,55,273,17631,0.14,0.00,120,150,180,200,230,270,270,270,270,270,270,270
"POST","/questionnaire/household/{id}/date-of-birth/",40,0,150,165,67,371,295,0.14,0.00,150,190,210,240,300,320,370,370,370,370,370,370
"GET","/questionnaire/household/{id}/degree/",40,0,120,142,35,401,17860,0.14,0.00,120,160,200,220,270,310,400,400,400,400,400,400
"POST","/questionnaire/household/{id}/degree/",40,0,160,183,54,377,291,0.14,0.00,170,210,230,250,280,360,380,380,380,380,380,380
"GET","/questionnaire/household/{id}/disability/",40,0,110,140,49,350,17450,0.14,0.00,120,140,180,210,290,330,350,350,350,350,350,350
"POST","/questionnaire/household/{id}/disability/",40,0,180,183,75,602,283,0.14,0.00,180,200,220,230,270,420,600,600,600,600,600,600
"GET","/questionnaire/household/{id}/employer-address-workplace/",17,0,96,99,50,148,20944,0.06,0.00,96,120,130,130,140,150,150,150,150,150,150,150
"POST","/questionnaire/household/{id}/employer-address-workplace/",14,0,150,150,99,188,237,0.05,0.00,160,170,180,180,190,190,190,190,190,190,190,190
"GET","/questionnaire/household/{id}/employer-type-of-address/",38,0,110,118,49,257,19889,0.13,0.00,110,140,140,160,180,210,260,260,260,260,260,260
"POST","/questionnaire/household/{id}/employer-type-of-address/",37,0,170,177,62,317,269,0.13,0.00,170,200,200,210,250,290,320,320,320,320,320,320
"GET","/questionnaire/household/{id}/employers-business/",40,0,110,116,30,319,15370,0.14,0.00,110,130,150,150,180,230,320,320,320,320,320,320
"POST","/questionnaire/household/{id}/employers-business/",40,0,160,168,47,331,291,0.14,0.00,170,190,200,220,270,290,330,330,330,330,330,330
