"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/questionnaire",30,0,58,67,20,165,293,0.10,0.00,59,69,88,100,150,150,170,170,170,170,170,170
"GET","/questionnaire/",104,0,82,90,29,241,17168,0.34,0.00,84,100,110,120,150,160,190,220,240,240,240,240
"POST","/questionnaire/",101,0,85,112,23,501,297,0.33,0.00,85,110,120,140,200,310,420,480,500,500,500,500
"GET","/questionnaire/accommodation-introduction/",21,0,63,80,24,176,10074,0.07,0.00,63,85,110,120,150,150,180,180,180,180,180,180
"POST","/questionnaire/accommodation-introduction/",21,0,93,107,37,219,275,0.07,0.00,93,99,140,170,190,210,220,220,220,220,220,220
"GET","/questionnaire/accommodation-type/",21,0,81,82,25,160,12837,0.07,0.00,81,93,98,110,120,140,160,160,160,160,160,160
"POST","/questionnaire/accommodation-type/",20,0,100,110,46,218,265,0.07,0.00,110,130,130,140,210,220,220,220,220,220,220,220
"GET","/questionnaire/any-visitors/",30,0,94,100,46,331,15752,0.10,0.00,98,120,120,120,130,150,330,330,330,330,330,330
"POST","/questionnaire/any-visitors/",30,0,120,128,55,235,323,0.10,0.00,130,140,160,170,210,220,240,240,240,240,240,240
"POST","/questionnaire/anyone-else-driving-question/",30,0,98,121,45,300,355,0.10,0.00,99,140,150,170,190,240,300,300,300,300,300,300
"GET","/questionnaire/anyone-else-list-collector/",30,0,91,93,36,196,14550,0.10,0.00,97,100,110,120,120,170,200,200,200,200,200,200
"POST","/questionnaire/anyone-else-list-collector/",30,0,120,134,56,303,311,0.10,0.00,120,150,170,190,200,210,300,300,300,300,300,300
"GET","/questionnaire/anyone-else-temp-away-list-collector/",30,0,93,101,51,234,17343,0.10,0.00,97,110,110,140,160,190,230,230,230,230,230,230
